,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,30,10,10,50,9.712824696261096e-06,0,LR (False)
1,0,30,50,50,50,7.645322833947021e-07,0,LR (False)
2,0,30,100,100,50,0.003182462632612634,0,LR (False)
3,0,30,200,200,50,43.37857991886054,0,LR (False)
4,0,30,300,300,50,347.17046639577313,0,LR (False)
5,0,30,400,400,50,808.1581856363977,0,LR (False)
6,0,30,500,500,50,935589.4761533292,0,LR (False)
7,0,30,600,600,50,183371360.40712002,0,LR (False)
8,0,30,700,700,50,9.253623938534104e+17,0,LR (False)
9,0,30,800,800,50,1.6453850987513764e+163,0,LR (False)
10,0,30,900,900,50,inf,0,LR (False)
11,0,30,100,100,50,0.018039632089590658,0,LR (False)
0,1,30,10,10,50,1.1107557105010339e-07,0,LR (False)
1,1,30,50,50,50,4.61309047635616e-06,0,LR (False)
2,1,30,100,100,50,0.003322057978663071,0,LR (False)
3,1,30,200,200,50,5.9794707457963066,0,LR (False)
4,1,30,300,300,50,310.05653652659083,0,LR (False)
5,1,30,400,400,50,570912.1085325489,0,LR (False)
6,1,30,500,500,50,367839.8972494455,0,LR (False)
7,1,30,600,600,50,7113310282.321375,0,LR (False)
8,1,30,700,700,50,1.2251120952726702e+241,0,LR (False)
9,1,30,800,800,50,4.165355185117932e+274,0,LR (False)
10,1,30,900,900,50,5.11159387874484e+166,0,LR (False)
11,1,30,100,100,50,4.577366827148756,0,LR (False)
0,2,30,10,10,50,5.111807449521434e-07,0,LR (False)
1,2,30,50,50,50,5.64536329583751e-07,0,LR (False)
2,2,30,100,100,50,0.02316931765763678,0,LR (False)
3,2,30,200,200,50,119.44335902862171,0,LR (False)
4,2,30,300,300,50,6675.198476995005,0,LR (False)
5,2,30,400,400,50,7813.146195019913,0,LR (False)
6,2,30,500,500,50,67905.64382939498,0,LR (False)
7,2,30,600,600,50,23399666611.952675,0,LR (False)
8,2,30,700,700,50,2.1578806879686822e+18,0,LR (False)
9,2,30,800,800,50,5.766400294281498e+288,0,LR (False)
10,2,30,900,900,50,2.6788991932867174e+153,0,LR (False)
11,2,30,100,100,50,0.20465262871473075,0,LR (False)
0,3,30,10,10,50,2.5603493167147542e-08,0,LR (False)
1,3,30,50,50,50,9.303513088023042e-07,0,LR (False)
2,3,30,100,100,50,0.00047057440722753226,0,LR (False)
3,3,30,200,200,50,53.13892426335675,0,LR (False)
4,3,30,300,300,50,67.46422420844142,0,LR (False)
5,3,30,400,400,50,288736.9120642113,0,LR (False)
6,3,30,500,500,50,124625.79607185473,0,LR (False)
7,3,30,600,600,50,6732672694.251793,0,LR (False)
8,3,30,700,700,50,290847091532967.56,0,LR (False)
9,3,30,800,800,50,6.070548897732374e+148,0,LR (False)
10,3,30,900,900,50,1.4191233271781108e+205,0,LR (False)
11,3,30,100,100,50,0.008558204355327188,0,LR (False)
0,4,30,10,10,50,2.0846092961357467e-05,0,LR (False)
1,4,30,50,50,50,7.753586268965675e-07,0,LR (False)
2,4,30,100,100,50,0.020159779389765094,0,LR (False)
3,4,30,200,200,50,141.5984694148817,0,LR (False)
4,4,30,300,300,50,5609.5567442554,0,LR (False)
5,4,30,400,400,50,114022.25004714083,0,LR (False)
6,4,30,500,500,50,327127.94950393034,0,LR (False)
7,4,30,600,600,50,5870863147.875062,0,LR (False)
8,4,30,700,700,50,3.395228315049802e+134,0,LR (False)
9,4,30,800,800,50,1.983636611956863e+189,0,LR (False)
10,4,30,900,900,50,7.559376094491389e+232,0,LR (False)
11,4,30,100,100,50,0.006042343588053051,0,LR (False)
0,5,30,10,10,50,4.869175642034693e-07,0,LR (False)
1,5,30,50,50,50,3.4553146580777844e-07,0,LR (False)
2,5,30,100,100,50,0.037793555469992704,0,LR (False)
3,5,30,200,200,50,60.76985372067747,0,LR (False)
4,5,30,300,300,50,834.5011587154086,0,LR (False)
5,5,30,400,400,50,1905.3160185208121,0,LR (False)
6,5,30,500,500,50,247499460337.61038,0,LR (False)
7,5,30,600,600,50,282688765434523.0,0,LR (False)
8,5,30,700,700,50,4.556119556338323e+27,0,LR (False)
9,5,30,800,800,50,1.477995273723724e+209,0,LR (False)
10,5,30,900,900,50,4.119660962405992e+253,0,LR (False)
11,5,30,100,100,50,0.12335242831005358,0,LR (False)
0,6,30,10,10,50,1.9268628439755805e-06,0,LR (False)
1,6,30,50,50,50,2.7339004411204138e-06,0,LR (False)
2,6,30,100,100,50,0.00033160848943131546,0,LR (False)
3,6,30,200,200,50,9.174345709639812,0,LR (False)
4,6,30,300,300,50,50.421082814876854,0,LR (False)
5,6,30,400,400,50,169503418.20553505,0,LR (False)
6,6,30,500,500,50,160762.76180235745,0,LR (False)
7,6,30,600,600,50,43927991114.46859,0,LR (False)
8,6,30,700,700,50,6.915232964560274e+18,0,LR (False)
9,6,30,800,800,50,1.9815697125306083e+149,0,LR (False)
10,6,30,900,900,50,3.697844960163938e+244,0,LR (False)
11,6,30,100,100,50,0.021872619884802113,0,LR (False)
0,7,30,10,10,50,1.1103656981328364e-05,0,LR (False)
1,7,30,50,50,50,7.817309944642664e-06,0,LR (False)
2,7,30,100,100,50,0.00059830764836088,0,LR (False)
3,7,30,200,200,50,91.49004022928422,0,LR (False)
4,7,30,300,300,50,9331.201175767543,0,LR (False)
5,7,30,400,400,50,6078.39083828291,0,LR (False)
6,7,30,500,500,50,170609.73417816064,0,LR (False)
7,7,30,600,600,50,173782037656.4494,0,LR (False)
8,7,30,700,700,50,19361598215228.484,0,LR (False)
9,7,30,800,800,50,3.73697245885646e+160,0,LR (False)
10,7,30,900,900,50,1.4842017376810347e+291,0,LR (False)
11,7,30,100,100,50,0.0005557370912875296,0,LR (False)
0,8,30,10,10,50,2.6919791406642203e-05,0,LR (False)
1,8,30,50,50,50,2.3811382999038835e-05,0,LR (False)
2,8,30,100,100,50,0.0008734414125960101,0,LR (False)
3,8,30,200,200,50,700.7219612300421,0,LR (False)
4,8,30,300,300,50,814.1681998818389,0,LR (False)
5,8,30,400,400,50,741.2690660632154,0,LR (False)
6,8,30,500,500,50,4378625471.556921,0,LR (False)
7,8,30,600,600,50,944610367.8644004,0,LR (False)
8,8,30,700,700,50,6.142784653229117e+102,0,LR (False)
9,8,30,800,800,50,6.266978602468256e+168,0,LR (False)
10,8,30,900,900,50,9.492667467155405e+279,0,LR (False)
11,8,30,100,100,50,0.0024538351454510797,0,LR (False)
0,9,30,10,10,50,6.64669344810731e-07,0,LR (False)
1,9,30,50,50,50,2.4464525505496137e-06,0,LR (False)
2,9,30,100,100,50,0.007638487316303866,0,LR (False)
3,9,30,200,200,50,162.12921319874584,0,LR (False)
4,9,30,300,300,50,378.2690496196205,0,LR (False)
5,9,30,400,400,50,12068.494004949145,0,LR (False)
6,9,30,500,500,50,1005835.6716408062,0,LR (False)
7,9,30,600,600,50,405131774.51585734,0,LR (False)
8,9,30,700,700,50,3.647403541393643e+18,0,LR (False)
9,9,30,800,800,50,1.0553920169498442e+224,0,LR (False)
