,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,30,10,10,50,1.4612109350223226e-07,0,LR (True)
1,0,30,50,50,50,3.145880190014686e-06,0,LR (True)
2,0,30,100,100,50,0.003292906078874675,0,LR (True)
3,0,30,200,200,50,1523.6755081549811,0,LR (True)
4,0,30,300,300,50,1156.9210844772613,0,LR (True)
5,0,30,400,400,50,698.1107116280563,0,LR (True)
6,0,30,500,500,50,1786570.3750293378,0,LR (True)
7,0,30,600,600,50,710697.933859757,0,LR (True)
8,0,30,700,700,50,2.992129353438323e+30,0,LR (True)
9,0,30,800,800,50,3.351233402898305e+270,0,LR (True)
10,0,30,900,900,50,5.254122737314432e+165,0,LR (True)
11,0,30,100,100,50,0.08329490196028409,0,LR (True)
0,1,30,10,10,50,1.883236426080727e-06,0,LR (True)
1,1,30,50,50,50,6.0533729074225835e-06,0,LR (True)
2,1,30,100,100,50,0.05640171540734151,0,LR (True)
3,1,30,200,200,50,677.1421118478179,0,LR (True)
4,1,30,300,300,50,84.18337361976953,0,LR (True)
5,1,30,400,400,50,23760.631612335466,0,LR (True)
6,1,30,500,500,50,109973.93601964277,0,LR (True)
7,1,30,600,600,50,838429295712732.8,0,LR (True)
8,1,30,700,700,50,1.439995263641095e+22,0,LR (True)
9,1,30,800,800,50,2.1912791298758446e+168,0,LR (True)
10,1,30,900,900,50,3.872469488146527e+111,0,LR (True)
11,1,30,100,100,50,0.016874648602502228,0,LR (True)
0,2,30,10,10,50,1.2808710975759776e-08,0,LR (True)
1,2,30,50,50,50,6.229313517462163e-05,0,LR (True)
2,2,30,100,100,50,0.0006971244279146511,0,LR (True)
3,2,30,200,200,50,374.99697749025853,0,LR (True)
4,2,30,300,300,50,16273.39560162004,0,LR (True)
5,2,30,400,400,50,10077.136088032945,0,LR (True)
6,2,30,500,500,50,4650741.740464116,0,LR (True)
7,2,30,600,600,50,33460493.041576628,0,LR (True)
8,2,30,700,700,50,1.814434429355667e+16,0,LR (True)
9,2,30,800,800,50,7.292743491617104e+242,0,LR (True)
10,2,30,900,900,50,7.704739707757762e+154,0,LR (True)
11,2,30,100,100,50,0.006285984745012427,0,LR (True)
0,3,30,10,10,50,7.981472313826966e-08,0,LR (True)
1,3,30,50,50,50,1.4764655439342418e-05,0,LR (True)
2,3,30,100,100,50,380.8682577199069,0,LR (True)
3,3,30,200,200,50,1508.3859118456157,0,LR (True)
4,3,30,300,300,50,3303.7319722673706,0,LR (True)
5,3,30,400,400,50,20224.990418090383,0,LR (True)
6,3,30,500,500,50,4839178.393260643,0,LR (True)
7,3,30,600,600,50,174835936.91459012,0,LR (True)
8,3,30,700,700,50,2295055699897309.0,0,LR (True)
9,3,30,800,800,50,3.277053757963858e+189,0,LR (True)
10,3,30,900,900,50,1.6728212883784683e+186,0,LR (True)
11,3,30,100,100,50,0.0024939970006444255,0,LR (True)
0,4,30,10,10,50,5.622963825622223e-05,0,LR (True)
1,4,30,50,50,50,2.170994727261925e-06,0,LR (True)
2,4,30,100,100,50,0.0015120721852120381,0,LR (True)
3,4,30,200,200,50,64.15216247673594,0,LR (True)
4,4,30,300,300,50,141.069809658238,0,LR (True)
5,4,30,400,400,50,57748.06718401541,0,LR (True)
6,4,30,500,500,50,39006949885.80463,0,LR (True)
7,4,30,600,600,50,12050479128.450996,0,LR (True)
8,4,30,700,700,50,1.8859623631532964e+61,0,LR (True)
9,4,30,800,800,50,3.520170426389182e+146,0,LR (True)
10,4,30,900,900,50,1.259862519691623e+179,0,LR (True)
11,4,30,100,100,50,0.0010293120538309695,0,LR (True)
0,5,30,10,10,50,0.027320216610927067,0,LR (True)
1,5,30,50,50,50,3.202231435073979e-06,0,LR (True)
2,5,30,100,100,50,0.00011703422755587809,0,LR (True)
3,5,30,200,200,50,1456.0676030209434,0,LR (True)
4,5,30,300,300,50,3074.303450326484,0,LR (True)
5,5,30,400,400,50,392892243103082.94,0,LR (True)
6,5,30,500,500,50,24334464.183146294,0,LR (True)
7,5,30,600,600,50,18960362135.51558,0,LR (True)
8,5,30,700,700,50,2.013175133925617e+32,0,LR (True)
9,5,30,800,800,50,2.753042293363824e+210,0,LR (True)
10,5,30,900,900,50,3.1376734892316574e+136,0,LR (True)
11,5,30,100,100,50,0.001326265832733911,0,LR (True)
0,6,30,10,10,50,1.0109631669768035e-05,0,LR (True)
1,6,30,50,50,50,0.00016173278828267724,0,LR (True)
2,6,30,100,100,50,0.0006144144782021102,0,LR (True)
3,6,30,200,200,50,956.7044697887651,0,LR (True)
4,6,30,300,300,50,4423.363901325612,0,LR (True)
5,6,30,400,400,50,1266.1399890373423,0,LR (True)
6,6,30,500,500,50,92973.07319283907,0,LR (True)
7,6,30,600,600,50,15783669.41488163,0,LR (True)
8,6,30,700,700,50,5.270816535661999e+119,0,LR (True)
9,6,30,800,800,50,1.9806120013361955e+288,0,LR (True)
10,6,30,900,900,50,8.041082958708968e+120,0,LR (True)
11,6,30,100,100,50,0.0010709850322276077,0,LR (True)
0,7,30,10,10,50,9.826977068344307e-08,0,LR (True)
1,7,30,50,50,50,0.0004359217006208968,0,LR (True)
2,7,30,100,100,50,3.9959540965140015,0,LR (True)
3,7,30,200,200,50,1940.1568242061644,0,LR (True)
4,7,30,300,300,50,8413.309004926414,0,LR (True)
5,7,30,400,400,50,23195.60679195045,0,LR (True)
6,7,30,500,500,50,726616.8210632555,0,LR (True)
7,7,30,600,600,50,219191948346.4682,0,LR (True)
8,7,30,700,700,50,2.1636227427920736e+28,0,LR (True)
9,7,30,800,800,50,4.240118580605246e+152,0,LR (True)
10,7,30,900,900,50,1.1414286371042546e+259,0,LR (True)
11,7,30,100,100,50,0.0017817386166258812,0,LR (True)
0,8,30,10,10,50,1.6332658556552548e-05,0,LR (True)
1,8,30,50,50,50,3.296528125676989e-05,0,LR (True)
2,8,30,100,100,50,0.0010533116679877213,0,LR (True)
3,8,30,200,200,50,1430.3163176453954,0,LR (True)
4,8,30,300,300,50,89.95294342333858,0,LR (True)
5,8,30,400,400,50,896.0875166006067,0,LR (True)
6,8,30,500,500,50,1296.8148708758667,0,LR (True)
7,8,30,600,600,50,11720110244.22052,0,LR (True)
8,8,30,700,700,50,1.4833401366042225e+35,0,LR (True)
9,8,30,800,800,50,1.9034198897177105e+143,0,LR (True)
10,8,30,900,900,50,inf,0,LR (True)
11,8,30,100,100,50,0.005272180255293569,0,LR (True)
0,9,30,10,10,50,1.1035884022321244e-07,0,LR (True)
1,9,30,50,50,50,1.2643777027780192e-06,0,LR (True)
2,9,30,100,100,50,0.5250290698123197,0,LR (True)
3,9,30,200,200,50,884.2756361277995,0,LR (True)
4,9,30,300,300,50,23.825117579355627,0,LR (True)
5,9,30,400,400,50,13997.290116726484,0,LR (True)
6,9,30,500,500,50,3966560.3418588145,0,LR (True)
7,9,30,600,600,50,1284195285503.6357,0,LR (True)
8,9,30,700,700,50,4.20169966600734e+100,0,LR (True)
9,9,30,800,800,50,2.3834448037278253e+279,0,LR (True)
10,9,30,900,900,50,1.582680239223087e+294,0,LR (True)
11,9,30,100,100,50,0.021120341773948254,0,LR (True)
0,10,30,10,10,50,5.87684783159498e-06,0,LR (True)
1,10,30,50,50,50,1.7446317193312216e-05,0,LR (True)
2,10,30,100,100,50,0.003859928549419916,0,LR (True)
3,10,30,200,200,50,27.87644417351813,0,LR (True)
4,10,30,300,300,50,298.98342463122367,0,LR (True)
5,10,30,400,400,50,56321.584330835685,0,LR (True)
6,10,30,500,500,50,38435.03217022783,0,LR (True)
7,10,30,600,600,50,888653559506.499,0,LR (True)
8,10,30,700,700,50,1.6095348069528396e+47,0,LR (True)
9,10,30,800,800,50,2.930544432088759e+257,0,LR (True)
10,10,30,900,900,50,1.786419114772202e+99,0,LR (True)
11,10,30,100,100,50,0.030830308365240287,0,LR (True)
0,11,30,10,10,50,1.5993841297119223e-06,0,LR (True)
1,11,30,50,50,50,7.227917653969233e-06,0,LR (True)
2,11,30,100,100,50,0.001659732762388834,0,LR (True)
3,11,30,200,200,50,2.7978442202175717,0,LR (True)
4,11,30,300,300,50,18097.4806851673,0,LR (True)
5,11,30,400,400,50,64861590.008013,0,LR (True)
6,11,30,500,500,50,75044.50729853965,0,LR (True)
7,11,30,600,600,50,142886937957.70413,0,LR (True)
8,11,30,700,700,50,42085360032207.88,0,LR (True)
9,11,30,800,800,50,1.3071804731928953e+184,0,LR (True)
10,11,30,900,900,50,1.6653551284593253e+122,0,LR (True)
11,11,30,100,100,50,0.05449036635806779,0,LR (True)
0,12,30,10,10,50,0.00040708044533748335,0,LR (True)
1,12,30,50,50,50,5.328369615056599e-06,0,LR (True)
2,12,30,100,100,50,0.014186412307903152,0,LR (True)
3,12,30,200,200,50,9805.468891738426,0,LR (True)
