,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,2,2,50,0.00019658184648794214,0,LR (True)
1,0,3,2,2,50,9.269260937422178e-06,0,LR (True)
2,0,2,2,2,50,6.721007987101054e-06,0,LR (True)
3,0,1,2,2,50,0.00019658184648794214,0,LR (True)
4,1,1,2,2,50,10.020589482306159,0,LR (True)
5,1,3,2,2,50,10.092644983074601,0,LR (True)
6,1,2,2,2,50,10.095763216453506,0,LR (True)
7,1,1,2,2,50,10.020589482306159,0,LR (True)
8,2,1,2,2,50,8.132346061140494,0,LR (True)
9,2,3,2,2,50,8.19276323266708,0,LR (True)
10,2,2,2,2,50,8.195380084877371,0,LR (True)
11,2,1,2,2,50,8.132346061140494,0,LR (True)
12,3,1,2,2,50,32.94652335857131,0,LR (True)
13,3,3,2,2,50,33.06937307016379,0,LR (True)
14,3,2,2,2,50,33.074708990410166,0,LR (True)
15,3,1,2,2,50,32.94652335857131,0,LR (True)
16,4,1,2,2,50,10.36346246362603,0,LR (True)
17,4,3,2,2,50,10.43509751545177,0,LR (True)
18,4,2,2,2,50,10.438191257849864,0,LR (True)
19,4,1,2,2,50,10.36346246362603,0,LR (True)
20,5,1,2,2,50,8.512004560991171,0,LR (True)
21,5,3,2,2,50,8.57743866554524,0,LR (True)
22,5,2,2,2,50,8.580265633272692,0,LR (True)
23,5,1,2,2,50,8.512004560991171,0,LR (True)
24,6,1,2,2,50,20.301777359458136,0,LR (True)
25,6,3,2,2,50,20.410255489230764,0,LR (True)
26,6,2,2,2,50,20.414955387972572,0,LR (True)
27,6,1,2,2,50,20.301777359458136,0,LR (True)
28,7,1,2,2,50,15.852030362047115,0,LR (True)
29,7,3,2,2,50,15.94568643741822,0,LR (True)
30,7,2,2,2,50,15.949740302136288,0,LR (True)
31,7,1,2,2,50,15.852030362047115,0,LR (True)
32,8,1,2,2,50,24.076386059781942,0,LR (True)
33,8,3,2,2,50,24.1911136122968,0,LR (True)
34,8,2,2,2,50,24.196060933909642,0,LR (True)
35,8,1,2,2,50,24.076386059781942,0,LR (True)
36,9,1,2,2,50,11.687921760118646,0,LR (True)
37,9,3,2,2,50,11.753569367046412,0,LR (True)
38,9,2,2,2,50,11.756424406155784,0,LR (True)
39,9,1,2,2,50,11.687921760118646,0,LR (True)
40,10,1,2,2,50,16.840148907294218,0,LR (True)
41,10,3,2,2,50,16.904125269561163,0,LR (True)
42,10,2,2,2,50,16.9069368101623,0,LR (True)
43,10,1,2,2,50,16.840148907294218,0,LR (True)
44,11,1,2,2,50,7.240233139576839,0,LR (True)
45,11,3,2,2,50,7.296870317643936,0,LR (True)
46,11,2,2,2,50,7.2993297406158275,0,LR (True)
47,11,1,2,2,50,7.240233139576839,0,LR (True)
48,12,1,2,2,50,17.414707736962683,0,LR (True)
49,12,3,2,2,50,17.489617800579527,0,LR (True)
50,12,2,2,2,50,17.492874880491264,0,LR (True)
51,12,1,2,2,50,17.414707736962683,0,LR (True)
52,13,1,2,2,50,8.964818526187395,0,LR (True)
53,13,3,2,2,50,9.0348676249989,0,LR (True)
54,13,2,2,2,50,9.037891724204714,0,LR (True)
55,13,1,2,2,50,8.964818526187395,0,LR (True)
56,14,1,2,2,50,10.090664804037532,0,LR (True)
57,14,3,2,2,50,10.161773310704355,0,LR (True)
58,14,2,2,2,50,10.164858960959847,0,LR (True)
59,14,1,2,2,50,10.090664804037532,0,LR (True)
60,15,1,2,2,50,66.23290148189491,0,LR (True)
61,15,3,2,2,50,66.41660011715105,0,LR (True)
62,15,2,2,2,50,66.42451787619504,0,LR (True)
