,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,1,2,2,50,0,2.6791963389084112e-06,0,LR (True)
1,0,3,2,2,50,0,8.285366678065646e-07,0,LR (True)
2,0,2,2,2,50,0,7.909954962321108e-07,0,LR (True)
3,0,1,2,2,50,0,2.6791963389084112e-06,0,LR (True)
4,1,1,2,2,50,0,0.02458887338044092,0,LR (True)
5,1,3,2,2,50,0,5.448853387567522e-07,0,LR (True)
6,1,2,2,2,50,0,6.264297056237427e-07,0,LR (True)
7,1,1,2,2,50,0,0.02458887338044092,0,LR (True)
8,2,1,2,2,50,0,1.3571433895886417e-05,0,LR (True)
9,2,3,2,2,50,0,4.57019032699666e-09,0,LR (True)
10,2,2,2,2,50,0,6.872385851089352e-08,0,LR (True)
11,2,1,2,2,50,0,1.3571433895886417e-05,0,LR (True)
12,3,1,2,2,50,0,0.00707589692203739,0,LR (True)
13,3,3,2,2,50,0,0.00022749339619113247,0,LR (True)
14,3,2,2,2,50,0,0.0007308104179276203,0,LR (True)
15,3,1,2,2,50,0,0.00707589692203739,0,LR (True)
16,4,1,2,2,50,0,7.021167431179146e-06,0,LR (True)
17,4,3,2,2,50,0,4.639770785245077e-06,0,LR (True)
18,4,2,2,2,50,0,2.0579721384253554e-06,0,LR (True)
19,4,1,2,2,50,0,7.021167431179146e-06,0,LR (True)
20,5,1,2,2,50,0,0.01926382049591731,0,LR (True)
21,5,3,2,2,50,0,6.423590233341504e-07,0,LR (True)
22,5,2,2,2,50,0,1.5440389212095733e-06,0,LR (True)
23,5,1,2,2,50,0,0.01926382049591731,0,LR (True)
24,6,1,2,2,50,0,0.006878188846676146,0,LR (True)
25,6,3,2,2,50,0,9.590764486149211e-07,0,LR (True)
26,6,2,2,2,50,0,1.3893993408391487e-06,0,LR (True)
27,6,1,2,2,50,0,0.006878188846676146,0,LR (True)
28,7,1,2,2,50,0,0.0021008909926629603,0,LR (True)
29,7,3,2,2,50,0,6.083540500569135e-07,0,LR (True)
30,7,2,2,2,50,0,6.044368540311023e-07,0,LR (True)
31,7,1,2,2,50,0,0.0021008909926629603,0,LR (True)
32,8,1,2,2,50,0,0.0003324289675597931,0,LR (True)
33,8,3,2,2,50,0,0.0003230036846450461,0,LR (True)
34,8,2,2,2,50,0,0.0003226171475076609,0,LR (True)
35,8,1,2,2,50,0,0.0003324289675597931,0,LR (True)
36,9,1,2,2,50,0,6.732166496498831e-07,0,LR (True)
37,9,3,2,2,50,0,5.910786843604277e-07,0,LR (True)
38,9,2,2,2,50,0,5.665705309290078e-07,0,LR (True)
