,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,1,2,2,50,0,1.4959543060235623e-06,0,LR (True)
1,0,3,2,2,50,0,9.620221184350425e-07,0,LR (True)
2,0,2,2,2,50,0,8.816229122350816e-07,0,LR (True)
3,0,1,2,2,50,0,1.4959543060235623e-06,0,LR (True)
4,1,1,2,2,50,0,0.00022332222819371132,0,LR (True)
5,1,3,2,2,50,0,3.415793725194741e-05,0,LR (True)
6,1,2,2,2,50,0,3.5690141584456126e-05,0,LR (True)
7,1,1,2,2,50,0,0.00022332222819371132,0,LR (True)
8,2,1,2,2,50,0,8.598734717844432e-06,0,LR (True)
9,2,3,2,2,50,0,2.580747634185868e-06,0,LR (True)
10,2,2,2,2,50,0,7.00190012610376e-06,0,LR (True)
11,2,1,2,2,50,0,8.598734717844432e-06,0,LR (True)
12,3,1,2,2,50,0,9.546022769817117e-06,0,LR (True)
13,3,3,2,2,50,0,2.6150011238998356e-06,0,LR (True)
14,3,2,2,2,50,0,4.380957540234585e-06,0,LR (True)
15,3,1,2,2,50,0,9.546022769817117e-06,0,LR (True)
16,4,1,2,2,50,0,0.00013672492754377222,0,LR (True)
17,4,3,2,2,50,0,1.1581158787992005e-06,0,LR (True)
18,4,2,2,2,50,0,1.6941404336714642e-06,0,LR (True)
19,4,1,2,2,50,0,0.00013672492754377222,0,LR (True)
20,5,1,2,2,50,0,1.5249503114305433e-05,0,LR (True)
21,5,3,2,2,50,0,6.102085052459744e-07,0,LR (True)
22,5,2,2,2,50,0,1.493346999964428e-05,0,LR (True)
23,5,1,2,2,50,0,1.5249503114305433e-05,0,LR (True)
24,6,1,2,2,50,0,5.689886073243131e-06,0,LR (True)
25,6,3,2,2,50,0,3.1981405269471147e-07,0,LR (True)
26,6,2,2,2,50,0,4.323789846944271e-07,0,LR (True)
27,6,1,2,2,50,0,5.689886073243131e-06,0,LR (True)
28,7,1,2,2,50,0,1.4880978470812683e-05,0,LR (True)
29,7,3,2,2,50,0,1.745731724128825e-07,0,LR (True)
30,7,2,2,2,50,0,1.9302313383069363e-07,0,LR (True)
31,7,1,2,2,50,0,1.4880978470812683e-05,0,LR (True)
32,8,1,2,2,50,0,0.000296332490644743,0,LR (True)
33,8,3,2,2,50,0,1.960681433757354e-07,0,LR (True)
34,8,2,2,2,50,0,2.2794986956018482e-07,0,LR (True)
35,8,1,2,2,50,0,0.000296332490644743,0,LR (True)
36,9,1,2,2,50,0,0.00024783989886967246,0,LR (True)
37,9,3,2,2,50,0,1.1698902847180954e-06,0,LR (True)
38,9,2,2,2,50,0,4.051348482774782e-06,0,LR (True)
39,9,1,2,2,50,0,0.00024783989886967246,0,LR (True)
40,10,1,2,2,50,0,6.58562446280024e-05,0,LR (True)
41,10,3,2,2,50,0,9.67886006741867e-07,0,LR (True)
42,10,2,2,2,50,0,9.692679996260696e-07,0,LR (True)
43,10,1,2,2,50,0,6.58562446280024e-05,0,LR (True)
44,11,1,2,2,50,0,4.861388548259932e-07,0,LR (True)
45,11,3,2,2,50,0,1.71273949613883e-07,0,LR (True)
46,11,2,2,2,50,0,2.0601079585057238e-07,0,LR (True)
47,11,1,2,2,50,0,4.861388548259932e-07,0,LR (True)
48,12,1,2,2,50,0,0.8853130935770561,0,LR (True)
49,12,3,2,2,50,0,0.14717242680760584,0,LR (True)
50,12,2,2,2,50,0,0.12012772048653637,0,LR (True)
51,12,1,2,2,50,0,0.8853130935770561,0,LR (True)
52,13,1,2,2,50,0,0.001402754932850081,0,LR (True)
53,13,3,2,2,50,0,2.903430415283752e-07,0,LR (True)
54,13,2,2,2,50,0,2.455767595242679e-07,0,LR (True)
55,13,1,2,2,50,0,0.001402754932850081,0,LR (True)
56,14,1,2,2,50,0,0.0018727087071044803,0,LR (True)
57,14,3,2,2,50,0,5.655221523663657e-07,0,LR (True)
58,14,2,2,2,50,0,5.860934567609912e-07,0,LR (True)
59,14,1,2,2,50,0,0.0018727087071044803,0,LR (True)
60,15,1,2,2,50,0,1.8140059200359707e-06,0,LR (True)
61,15,3,2,2,50,0,3.833030921475805e-07,0,LR (True)
62,15,2,2,2,50,0,3.935038669928493e-07,0,LR (True)
63,15,1,2,2,50,0,1.8140059200359707e-06,0,LR (True)
64,16,1,2,2,50,0,2.636036898169506e-05,0,LR (True)
65,16,3,2,2,50,0,6.239327960947127e-07,0,LR (True)
66,16,2,2,2,50,0,1.3371636835815127e-05,0,LR (True)
67,16,1,2,2,50,0,2.636036898169506e-05,0,LR (True)
68,17,1,2,2,50,0,7.771394846612709e-06,0,LR (True)
69,17,3,2,2,50,0,4.0859606770598665e-06,0,LR (True)
70,17,2,2,2,50,0,4.902926913960476e-06,0,LR (True)
71,17,1,2,2,50,0,7.771394846612709e-06,0,LR (True)
72,18,1,2,2,50,0,1.7191239241855634e-05,0,LR (True)
73,18,3,2,2,50,0,1.2476571279702852e-05,0,LR (True)
74,18,2,2,2,50,0,1.2331757274526965e-05,0,LR (True)
75,18,1,2,2,50,0,1.7191239241855634e-05,0,LR (True)
