,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,500,10,10,20,3.6097458025262376e-08,0,LR
1,0,500,100,100,20,1.2481862398366995e-06,0,LR
2,0,500,1000,1000,20,1.0413454296739057e-05,0,LR
0,1,500,10,10,20,4.8814591598619945e-08,0,LR
1,1,500,100,100,20,0.000944275160746293,0,LR
2,1,500,1000,1000,20,6.653471373273732e-06,0,LR
0,2,500,10,10,20,2.6301889391578957e-07,0,LR
1,2,500,100,100,20,3.2871721326209294e-08,0,LR
2,2,500,1000,1000,20,0.0005623880780840484,0,LR
0,3,500,10,10,20,1.8315775280364517e-07,0,LR
1,3,500,100,100,20,1.5937473292058592e-06,0,LR
2,3,500,1000,1000,20,9.417685874142464e-06,0,LR
0,4,500,10,10,20,7.249888562089889e-08,0,LR
1,4,500,100,100,20,4.499294688191976e-06,0,LR
2,4,500,1000,1000,20,2.0472952667043996e-05,0,LR
