,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,500,10,10,20,6.919776474553791,0,Simple
1,0,500,100,100,20,69.90101645194484,0,Simple
2,0,500,1000,1000,20,229171.01398198295,0,Simple
0,1,500,10,10,20,0.4626411353360604,0,Simple
1,1,500,100,100,20,5057.0574365333005,0,Simple
2,1,500,1000,1000,20,11658.26207600264,0,Simple
0,2,500,10,10,20,216.332288745009,0,Simple
1,2,500,100,100,20,77.91472883922087,0,Simple
2,2,500,1000,1000,20,2717532.476503135,0,Simple
0,3,500,10,10,20,1.3709416473170264,0,Simple
1,3,500,100,100,20,1367885.144045435,0,Simple
2,3,500,1000,1000,20,3444.6056465069446,0,Simple
0,4,500,10,10,20,3.908227459867524,0,Simple
1,4,500,100,100,20,1266.5466652345547,0,Simple
2,4,500,1000,1000,20,7498.816031678512,0,Simple
