,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,10,1000,1000,50,3.994555631255537e+84,0,"LR (1000, False)"
1,0,100,1000,1000,50,3693.2493111402973,0,"LR (1000, False)"
2,0,1000,1000,1000,50,6.350681122437396e-06,0,"LR (1000, False)"
0,1,10,1000,1000,50,6.670266080045315e+96,0,"LR (1000, False)"
1,1,100,1000,1000,50,9513.299945009725,0,"LR (1000, False)"
2,1,1000,1000,1000,50,4.933676146735225e-05,0,"LR (1000, False)"
0,2,10,1000,1000,50,1.0109171768767924e+176,0,"LR (1000, False)"
1,2,100,1000,1000,50,332.41582588750845,0,"LR (1000, False)"
2,2,1000,1000,1000,50,2.397798768286081e-06,0,"LR (1000, False)"
0,3,10,1000,1000,50,8.726392145759395e+149,0,"LR (1000, False)"
1,3,100,1000,1000,50,684.196573882474,0,"LR (1000, False)"
2,3,1000,1000,1000,50,1.0326498683730049e-06,0,"LR (1000, False)"
0,4,10,1000,1000,50,7.758199734169241e+202,0,"LR (1000, False)"
1,4,100,1000,1000,50,6329.669387992148,0,"LR (1000, False)"
2,4,1000,1000,1000,50,5.950412221548439e-06,0,"LR (1000, False)"
0,5,10,1000,1000,50,5.816823321108473e+164,0,"LR (1000, False)"
1,5,100,1000,1000,50,7762.534782281752,0,"LR (1000, False)"
2,5,1000,1000,1000,50,1.1294262308841564e-05,0,"LR (1000, False)"
0,6,10,1000,1000,50,3.067832297696629e+176,0,"LR (1000, False)"
1,6,100,1000,1000,50,14351.957245168296,0,"LR (1000, False)"
2,6,1000,1000,1000,50,3.4982179475623584e-05,0,"LR (1000, False)"
0,7,10,1000,1000,50,7.36996115021531e+117,0,"LR (1000, False)"
1,7,100,1000,1000,50,242145.0736838321,0,"LR (1000, False)"
2,7,1000,1000,1000,50,0.00022618694151293952,0,"LR (1000, False)"
0,8,10,1000,1000,50,4.484649306203703e+242,0,"LR (1000, False)"
1,8,100,1000,1000,50,226172.77890478255,0,"LR (1000, False)"
2,8,1000,1000,1000,50,0.0003741820459719397,0,"LR (1000, False)"
0,9,10,1000,1000,50,1.3602638833180878e+26,0,"LR (1000, False)"
1,9,100,1000,1000,50,1977.9707458317343,0,"LR (1000, False)"
2,9,1000,1000,1000,50,4.418301550240854e-06,0,"LR (1000, False)"
0,10,10,1000,1000,50,1.19723545375713e+40,0,"LR (1000, False)"
1,10,100,1000,1000,50,1655.9693575797708,0,"LR (1000, False)"
2,10,1000,1000,1000,50,3.6571001355248126e-06,0,"LR (1000, False)"
0,11,10,1000,1000,50,2.6873807972044824e+211,0,"LR (1000, False)"
1,11,100,1000,1000,50,21734.019556000272,0,"LR (1000, False)"
2,11,1000,1000,1000,50,3.195184719020848e-05,0,"LR (1000, False)"
0,12,10,1000,1000,50,9.210870921665225e+67,0,"LR (1000, False)"
1,12,100,1000,1000,50,242291.47205404416,0,"LR (1000, False)"
2,12,1000,1000,1000,50,0.0005067108404137458,0,"LR (1000, False)"
0,13,10,1000,1000,50,2.0106183670615436e+238,0,"LR (1000, False)"
1,13,100,1000,1000,50,2238.4398826154215,0,"LR (1000, False)"
2,13,1000,1000,1000,50,5.445002628964023e-06,0,"LR (1000, False)"
