,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0.0,0.0,0,1,100,100,50,inf,0,"LR (100, True)"
1,1.0,1.0,0,10,100,100,50,2849.8698463544865,0,"LR (100, True)"
2,2.0,2.0,0,100,100,100,50,4.914909671368776e-06,0,"LR (100, True)"
3,3.0,3.0,0,1000,100,100,50,3.880974014090099e-06,0,"LR (100, True)"
4,4.0,0.0,1,1,100,100,50,6.173148161925498e+71,0,"LR (100, True)"
5,5.0,1.0,1,10,100,100,50,9122.924975153634,0,"LR (100, True)"
6,6.0,2.0,1,100,100,100,50,1.5203697205729314e-05,0,"LR (100, True)"
7,7.0,3.0,1,1000,100,100,50,1.4208495866231778e-05,0,"LR (100, True)"
8,8.0,0.0,2,1,100,100,50,8.472675238589329e+25,0,"LR (100, True)"
9,9.0,1.0,2,10,100,100,50,347890.9483198902,0,"LR (100, True)"
10,10.0,2.0,2,100,100,100,50,0.0001051877024342,0,"LR (100, True)"
11,11.0,3.0,2,1000,100,100,50,7.109829296180992e-05,0,"LR (100, True)"
12,12.0,0.0,3,1,100,100,50,3.851538543856597e+52,0,"LR (100, True)"
13,13.0,1.0,3,10,100,100,50,375569.0979775129,0,"LR (100, True)"
14,14.0,2.0,3,100,100,100,50,0.0002693293637514,0,"LR (100, True)"
15,15.0,3.0,3,1000,100,100,50,0.0002340293922931,0,"LR (100, True)"
16,16.0,0.0,4,1,100,100,50,1.790402141975655e+66,0,"LR (100, True)"
17,17.0,1.0,4,10,100,100,50,17072.97155222941,0,"LR (100, True)"
18,18.0,2.0,4,100,100,100,50,1.982475637829841e-05,0,"LR (100, True)"
19,19.0,3.0,4,1000,100,100,50,1.0671854630494796e-05,0,"LR (100, True)"
20,20.0,0.0,5,1,100,100,50,1.911720553524824e+29,0,"LR (100, True)"
21,21.0,1.0,5,10,100,100,50,861.315459681112,0,"LR (100, True)"
22,22.0,2.0,5,100,100,100,50,7.306926061765028e-06,0,"LR (100, True)"
23,23.0,3.0,5,1000,100,100,50,1.088010250699004e-06,0,"LR (100, True)"
24,24.0,0.0,6,1,100,100,50,2.8080313296297124e+126,0,"LR (100, True)"
25,25.0,1.0,6,10,100,100,50,130.43876776468105,0,"LR (100, True)"
26,26.0,2.0,6,100,100,100,50,3.199704898740325e-07,0,"LR (100, True)"
27,27.0,3.0,6,1000,100,100,50,1.5470006508504137e-07,0,"LR (100, True)"
28,28.0,0.0,7,1,100,100,50,4.9728583610716e+124,0,"LR (100, True)"
29,29.0,1.0,7,10,100,100,50,83.13015707388747,0,"LR (100, True)"
30,30.0,2.0,7,100,100,100,50,2.323555878663073e-07,0,"LR (100, True)"
31,31.0,3.0,7,1000,100,100,50,1.127732549851149e-07,0,"LR (100, True)"
32,32.0,0.0,8,1,100,100,50,5.4086823288564345e+106,0,"LR (100, True)"
33,33.0,1.0,8,10,100,100,50,30600.24526668874,0,"LR (100, True)"
34,34.0,2.0,8,100,100,100,50,9.6459218445715e-05,0,"LR (100, True)"
35,35.0,3.0,8,1000,100,100,50,8.062028709687126e-05,0,"LR (100, True)"
36,36.0,0.0,9,1,100,100,50,1.5247985377204886e+89,0,"LR (100, True)"
37,37.0,1.0,9,10,100,100,50,32.09825812586542,0,"LR (100, True)"
38,38.0,2.0,9,100,100,100,50,5.796422351563518e-07,0,"LR (100, True)"
39,39.0,3.0,9,1000,100,100,50,1.1260177269414593e-07,0,"LR (100, True)"
40,40.0,0.0,10,1,100,100,50,8.201467053907047e+69,0,"LR (100, True)"
41,41.0,1.0,10,10,100,100,50,3321.420067785288,0,"LR (100, True)"
42,42.0,2.0,10,100,100,100,50,5.983703005894824e-06,0,"LR (100, True)"
43,43.0,3.0,10,1000,100,100,50,2.6143243792262062e-06,0,"LR (100, True)"
44,44.0,0.0,11,1,100,100,50,1.2103318172828389e+100,0,"LR (100, True)"
45,45.0,1.0,11,10,100,100,50,14510.85178852005,0,"LR (100, True)"
46,46.0,2.0,11,100,100,100,50,6.5615340298767785e-06,0,"LR (100, True)"
47,47.0,3.0,11,1000,100,100,50,4.986847377208782e-06,0,"LR (100, True)"
48,48.0,0.0,12,1,100,100,50,inf,0,"LR (100, True)"
49,49.0,1.0,12,10,100,100,50,87.24192721780867,0,"LR (100, True)"
