,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0.0,0,10,30,30,50,0.0005767036594151,0,"LR (30, True)"
1,1.0,0,50,30,30,50,1.7747332314891662e-07,0,"LR (30, True)"
2,2.0,0,100,30,30,50,1.7246393183415184e-07,0,"LR (30, True)"
3,3.0,0,500,30,30,50,1.397747487682099e-07,0,"LR (30, True)"
4,4.0,0,1000,30,30,50,1.4394573357231218e-07,0,"LR (30, True)"
5,0.0,1,10,30,30,50,0.0029811596420801,0,"LR (30, True)"
6,1.0,1,50,30,30,50,2.259781011304861e-05,0,"LR (30, True)"
7,2.0,1,100,30,30,50,2.23306182882141e-05,0,"LR (30, True)"
8,3.0,1,500,30,30,50,2.0397406255425057e-05,0,"LR (30, True)"
9,4.0,1,1000,30,30,50,2.428957341611981e-05,0,"LR (30, True)"
10,0.0,2,10,30,30,50,6.485372878886304e-05,0,"LR (30, True)"
11,1.0,2,50,30,30,50,1.5823227906375815e-07,0,"LR (30, True)"
12,2.0,2,100,30,30,50,1.844515150145291e-07,0,"LR (30, True)"
13,3.0,2,500,30,30,50,3.775057612183822e-08,0,"LR (30, True)"
14,4.0,2,1000,30,30,50,2.7898922018700154e-08,0,"LR (30, True)"
15,0.0,3,10,30,30,50,0.0005397425747533,0,"LR (30, True)"
16,1.0,3,50,30,30,50,6.785725902137524e-07,0,"LR (30, True)"
17,2.0,3,100,30,30,50,3.569139431246201e-07,0,"LR (30, True)"
18,3.0,3,500,30,30,50,3.162459247413964e-07,0,"LR (30, True)"
19,4.0,3,1000,30,30,50,3.430065545188254e-07,0,"LR (30, True)"
20,0.0,4,10,30,30,50,0.0010468469914898,0,"LR (30, True)"
21,1.0,4,50,30,30,50,3.578526072951284e-07,0,"LR (30, True)"
22,2.0,4,100,30,30,50,6.479438560041852e-08,0,"LR (30, True)"
23,3.0,4,500,30,30,50,5.781425879376727e-08,0,"LR (30, True)"
24,4.0,4,1000,30,30,50,2.5095333963905304e-08,0,"LR (30, True)"
25,0.0,5,10,30,30,50,0.0034233393374897,0,"LR (30, True)"
26,1.0,5,50,30,30,50,3.445909048185e-06,0,"LR (30, True)"
27,2.0,5,100,30,30,50,1.6391566423230732e-06,0,"LR (30, True)"
28,3.0,5,500,30,30,50,1.2739586973415686e-06,0,"LR (30, True)"
29,4.0,5,1000,30,30,50,1.128796298225995e-06,0,"LR (30, True)"
