,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,1000,1000,50,2.695969141288553e+155,0,"LR (1000, True)"
1,0,10,1000,1000,50,6.679127435727052e+146,0,"LR (1000, True)"
2,0,100,1000,1000,50,545.6265096330726,0,"LR (1000, True)"
0,1,1,1000,1000,50,2.2203529588806813e+126,0,"LR (1000, True)"
1,1,10,1000,1000,50,5.128216555313395e+153,0,"LR (1000, True)"
2,1,100,1000,1000,50,353.2038257947982,0,"LR (1000, True)"
0,2,1,1000,1000,50,6.27006141885246e+220,0,"LR (1000, True)"
1,2,10,1000,1000,50,5.776506426781998e+114,0,"LR (1000, True)"
2,2,100,1000,1000,50,337.7719752799173,0,"LR (1000, True)"
0,3,1,1000,1000,50,6.932801066121366e+136,0,"LR (1000, True)"
1,3,10,1000,1000,50,1.494330931954018e+272,0,"LR (1000, True)"
2,3,100,1000,1000,50,7449.667528294726,0,"LR (1000, True)"
0,4,1,1000,1000,50,4.048112980727481e+135,0,"LR (1000, True)"
1,4,10,1000,1000,50,4.320270580599216e+98,0,"LR (1000, True)"
2,4,100,1000,1000,50,34.69544181371115,0,"LR (1000, True)"
0,5,1,1000,1000,50,3.148886561512763e+136,0,"LR (1000, True)"
1,5,10,1000,1000,50,6.153678821880686e+111,0,"LR (1000, True)"
2,5,100,1000,1000,50,8517.618825864924,0,"LR (1000, True)"
0,6,1,1000,1000,50,4.772976511221951e+115,0,"LR (1000, True)"
1,6,10,1000,1000,50,1.4409666319456791e+229,0,"LR (1000, True)"
2,6,100,1000,1000,50,150.59768323412482,0,"LR (1000, True)"
0,7,1,1000,1000,50,7.242958962844945e+109,0,"LR (1000, True)"
1,7,10,1000,1000,50,1.6816448871175066e+42,0,"LR (1000, True)"
2,7,100,1000,1000,50,3817.7332958285538,0,"LR (1000, True)"
0,8,1,1000,1000,50,3.095629374803956e+118,0,"LR (1000, True)"
1,8,10,1000,1000,50,5.4318539958272714e+144,0,"LR (1000, True)"
2,8,100,1000,1000,50,1091.4113359376233,0,"LR (1000, True)"
0,9,1,1000,1000,50,8.584800030470834e+127,0,"LR (1000, True)"
1,9,10,1000,1000,50,4.12506903230763e+87,0,"LR (1000, True)"
2,9,100,1000,1000,50,7137.663575126361,0,"LR (1000, True)"
0,10,1,1000,1000,50,8.265704000045222e+110,0,"LR (1000, True)"
1,10,10,1000,1000,50,2.2761812155904118e+85,0,"LR (1000, True)"
2,10,100,1000,1000,50,15640.703243242122,0,"LR (1000, True)"
0,11,1,1000,1000,50,3.785581758127605e+109,0,"LR (1000, True)"
2,11,100,1000,1000,50,379.8992030789931,0,"LR (1000, True)"
0,12,1,1000,1000,50,5.242868594333998e+105,0,"LR (1000, True)"
1,12,10,1000,1000,50,3.352981547669813e+95,0,"LR (1000, True)"
2,12,100,1000,1000,50,110.61646761463084,0,"LR (1000, True)"
0,13,1,1000,1000,50,3.483725787714597e+125,0,"LR (1000, True)"
1,13,10,1000,1000,50,8.214603207253533e+17,0,"LR (1000, True)"
