,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,2,2,50,0.09379786061647831,0,"LR (2, False)"
1,0,10,2,2,50,2.854501125327143e-06,0,"LR (2, False)"
2,0,100,2,2,50,5.33619414502805e-07,0,"LR (2, False)"
0,1,1,2,2,50,8.766593943704841e-05,0,"LR (2, False)"
1,1,10,2,2,50,1.8375866049690874e-05,0,"LR (2, False)"
2,1,100,2,2,50,1.707468448990895e-05,0,"LR (2, False)"
0,2,1,2,2,50,0.0018471387395860846,0,"LR (2, False)"
1,2,10,2,2,50,1.576263923118465e-06,0,"LR (2, False)"
2,2,100,2,2,50,1.3786040840820997e-06,0,"LR (2, False)"
0,3,1,2,2,50,9.823888425843358e-06,0,"LR (2, False)"
1,3,10,2,2,50,2.941963881903947e-07,0,"LR (2, False)"
2,3,100,2,2,50,3.3914909261910724e-07,0,"LR (2, False)"
0,4,1,2,2,50,0.00016088175326660307,0,"LR (2, False)"
1,4,10,2,2,50,9.100002763184414e-07,0,"LR (2, False)"
2,4,100,2,2,50,9.307628503872522e-07,0,"LR (2, False)"
0,5,1,2,2,50,1.3746483592048677,0,"LR (2, False)"
1,5,10,2,2,50,1.5631769282687082e-05,0,"LR (2, False)"
2,5,100,2,2,50,5.101268424801752e-06,0,"LR (2, False)"
0,6,1,2,2,50,2.3446105675674154e-06,0,"LR (2, False)"
1,6,10,2,2,50,1.0014534826348856e-06,0,"LR (2, False)"
2,6,100,2,2,50,8.349280103448499e-07,0,"LR (2, False)"
0,7,1,2,2,50,2.289628356094357e-05,0,"LR (2, False)"
1,7,10,2,2,50,2.484179563242498e-06,0,"LR (2, False)"
2,7,100,2,2,50,1.1280788269083976e-06,0,"LR (2, False)"
0,8,1,2,2,50,0.00022485501395406115,0,"LR (2, False)"
1,8,10,2,2,50,3.2937093659106324e-07,0,"LR (2, False)"
2,8,100,2,2,50,3.395468582859981e-07,0,"LR (2, False)"
0,9,1,2,2,50,3.518526839299742e-05,0,"LR (2, False)"
1,9,10,2,2,50,7.39768039655979e-07,0,"LR (2, False)"
2,9,100,2,2,50,8.099288183028122e-07,0,"LR (2, False)"
0,10,1,2,2,50,8.771855266931969e-06,0,"LR (2, False)"
1,10,10,2,2,50,7.075004363373084e-06,0,"LR (2, False)"
2,10,100,2,2,50,7.83593644729293e-06,0,"LR (2, False)"
0,11,1,2,2,50,1.7718769228915617e-06,0,"LR (2, False)"
1,11,10,2,2,50,2.9040174665030445e-07,0,"LR (2, False)"
2,11,100,2,2,50,2.388212447749357e-07,0,"LR (2, False)"
0,12,1,2,2,50,0.0007682491604711956,0,"LR (2, False)"
1,12,10,2,2,50,2.661312701104665e-07,0,"LR (2, False)"
2,12,100,2,2,50,1.7340102662208966e-07,0,"LR (2, False)"
0,13,1,2,2,50,1.0025478912969246e-06,0,"LR (2, False)"
1,13,10,2,2,50,1.8485848928967468e-07,0,"LR (2, False)"
2,13,100,2,2,50,1.707551256655933e-07,0,"LR (2, False)"
0,14,1,2,2,50,2.693289328596941e-05,0,"LR (2, False)"
1,14,10,2,2,50,3.7428738097659344e-07,0,"LR (2, False)"
2,14,100,2,2,50,4.158102636546339e-07,0,"LR (2, False)"
0,15,1,2,2,50,1.8287676451897343,0,"LR (2, False)"
1,15,10,2,2,50,1.2656070297826883e-06,0,"LR (2, False)"
2,15,100,2,2,50,2.6519642386863456e-08,0,"LR (2, False)"
0,16,1,2,2,50,5.982390805095795e-05,0,"LR (2, False)"
1,16,10,2,2,50,7.380840643449045e-07,0,"LR (2, False)"
2,16,100,2,2,50,6.793614906687166e-07,0,"LR (2, False)"
0,17,1,2,2,50,0.0008910183395571323,0,"LR (2, False)"
1,17,10,2,2,50,7.581306070146087e-07,0,"LR (2, False)"
2,17,100,2,2,50,8.257818352951869e-07,0,"LR (2, False)"
0,18,1,2,2,50,2.4823048319858867e-07,0,"LR (2, False)"
1,18,10,2,2,50,9.654612267869522e-08,0,"LR (2, False)"
2,18,100,2,2,50,1.0130641446586264e-07,0,"LR (2, False)"
0,19,1,2,2,50,0.0004139713284772848,0,"LR (2, False)"
1,19,10,2,2,50,1.2651729637041813e-06,0,"LR (2, False)"
2,19,100,2,2,50,5.98788854938731e-07,0,"LR (2, False)"
0,20,1,2,2,50,7.574032272432554e-06,0,"LR (2, False)"
1,20,10,2,2,50,8.600669095369241e-07,0,"LR (2, False)"
2,20,100,2,2,50,4.878864740275251e-07,0,"LR (2, False)"
0,21,1,2,2,50,1.678668020120836e-05,0,"LR (2, False)"
1,21,10,2,2,50,7.577587316231194e-06,0,"LR (2, False)"
2,21,100,2,2,50,7.812473809391324e-06,0,"LR (2, False)"
0,22,1,2,2,50,3.5092427898359366e-05,0,"LR (2, False)"
1,22,10,2,2,50,2.2699050030831574e-07,0,"LR (2, False)"
2,22,100,2,2,50,1.879640966757327e-07,0,"LR (2, False)"
0,23,1,2,2,50,5.635300702891303e-07,0,"LR (2, False)"
1,23,10,2,2,50,1.6739345007925924e-07,0,"LR (2, False)"
2,23,100,2,2,50,8.957132296906873e-08,0,"LR (2, False)"
0,24,1,2,2,50,7.3022931923737484e-06,0,"LR (2, False)"
1,24,10,2,2,50,1.211581566812549e-07,0,"LR (2, False)"
2,24,100,2,2,50,1.2841459257243083e-07,0,"LR (2, False)"
0,25,1,2,2,50,0.09219743855701083,0,"LR (2, False)"
1,25,10,2,2,50,6.969576104760126e-07,0,"LR (2, False)"
2,25,100,2,2,50,6.406909761769003e-07,0,"LR (2, False)"
0,26,1,2,2,50,5.145462823449969e-06,0,"LR (2, False)"
1,26,10,2,2,50,5.017351163040924e-07,0,"LR (2, False)"
2,26,100,2,2,50,3.6986940931571866e-07,0,"LR (2, False)"
0,27,1,2,2,50,0.0015578987563638468,0,"LR (2, False)"
1,27,10,2,2,50,0.0004740986569954463,0,"LR (2, False)"
2,27,100,2,2,50,0.0004426972272411083,0,"LR (2, False)"
0,28,1,2,2,50,7.10819539002951,0,"LR (2, False)"
1,28,10,2,2,50,1.9374424704083723e-06,0,"LR (2, False)"
2,28,100,2,2,50,3.1813183220565153e-07,0,"LR (2, False)"
0,29,1,2,2,50,5.751007428748376e-07,0,"LR (2, False)"
1,29,10,2,2,50,4.1662403238561344e-07,0,"LR (2, False)"
2,29,100,2,2,50,4.2804063070133224e-07,0,"LR (2, False)"
