,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,30,30,50,103387.40788636354,0,LR
1,0,10,30,30,50,7.73405005862844e-05,0,LR
2,0,100,30,30,50,3.370282714266867e-08,0,LR
3,0,1000,30,30,50,1.1908060377127003e-08,0,LR
4,0,10000,30,30,50,9.94592226798922e-09,0,LR
0,1,1,30,30,50,9.345802272169888e+31,0,LR
1,1,10,30,30,50,5.5214581461954625e-05,0,LR
2,1,100,30,30,50,3.3251357435034986e-08,0,LR
3,1,1000,30,30,50,1.5903882054334755e-08,0,LR
4,1,10000,30,30,50,1.530065349317554e-08,0,LR
0,2,1,30,30,50,1.8131441978834894e+39,0,LR
1,2,10,30,30,50,3.385999990580067e-05,0,LR
2,2,100,30,30,50,7.93536255137742e-07,0,LR
3,2,1000,30,30,50,8.791182071303665e-07,0,LR
4,2,10000,30,30,50,7.698893756872126e-07,0,LR
0,3,1,30,30,50,9.384934516078001e+67,0,LR
1,3,10,30,30,50,458.672935483802,0,LR
2,3,100,30,30,50,0.006491037462476313,0,LR
3,3,1000,30,30,50,0.003417877852914081,0,LR
4,3,10000,30,30,50,0.0024213570802266485,0,LR
0,4,1,30,30,50,inf,0,LR
1,4,10,30,30,50,8.664259954913044e-05,0,LR
2,4,100,30,30,50,2.032693437480352e-07,0,LR
3,4,1000,30,30,50,1.51514983590817e-07,0,LR
4,4,10000,30,30,50,1.7012514343881282e-07,0,LR
0,5,1,30,30,50,7.774945678950436e+102,0,LR
1,5,10,30,30,50,0.007585419934000932,0,LR
2,5,100,30,30,50,3.037502357815008e-05,0,LR
3,5,1000,30,30,50,1.3813390688292635e-05,0,LR
4,5,10000,30,30,50,1.1774457015459244e-05,0,LR
0,6,1,30,30,50,2.701437152673083e+81,0,LR
1,6,10,30,30,50,8.040088964898576e-05,0,LR
2,6,100,30,30,50,2.668288623624669e-07,0,LR
3,6,1000,30,30,50,1.6898847822699582e-07,0,LR
4,6,10000,30,30,50,1.7581546694875836e-07,0,LR
0,7,1,30,30,50,532.1890808112838,0,LR
1,7,10,30,30,50,0.004824108137277411,0,LR
2,7,100,30,30,50,8.339217845438609e-07,0,LR
3,7,1000,30,30,50,3.3424969820444335e-07,0,LR
4,7,10000,30,30,50,3.4932956916880217e-07,0,LR
0,8,1,30,30,50,3.169243173180798e+87,0,LR
1,8,10,30,30,50,0.0018120754116350485,0,LR
2,8,100,30,30,50,2.200093990324458e-07,0,LR
3,8,1000,30,30,50,1.9132874547860954e-07,0,LR
4,8,10000,30,30,50,9.664159991033408e-08,0,LR
0,9,1,30,30,50,2.4274435750880524e+114,0,LR
1,9,10,30,30,50,0.00016816194737187355,0,LR
2,9,100,30,30,50,2.0696686141651604e-07,0,LR
3,9,1000,30,30,50,1.9405103267396056e-07,0,LR
4,9,10000,30,30,50,2.091302900783379e-07,0,LR
0,10,1,30,30,50,2.045503804597307e+111,0,LR
1,10,10,30,30,50,4.103809174920928e-05,0,LR
2,10,100,30,30,50,3.1240006536200054e-07,0,LR
3,10,1000,30,30,50,2.730785683990624e-07,0,LR
4,10,10000,30,30,50,2.49572677377566e-07,0,LR
0,11,1,30,30,50,104810.43888265576,0,LR
1,11,10,30,30,50,0.00993424608782446,0,LR
2,11,100,30,30,50,4.009457942171828e-05,0,LR
3,11,1000,30,30,50,1.5030265396563689e-05,0,LR
4,11,10000,30,30,50,1.2228022839777897e-05,0,LR
0,12,1,30,30,50,3513317154.8633065,0,LR
1,12,10,30,30,50,0.0016273546249714918,0,LR
2,12,100,30,30,50,8.474596246606358e-07,0,LR
3,12,1000,30,30,50,2.5158171398929737e-07,0,LR
4,12,10000,30,30,50,1.5360207785790034e-07,0,LR
0,13,1,30,30,50,2.852042264231717e+96,0,LR
1,13,10,30,30,50,0.009231458545226667,0,LR
2,13,100,30,30,50,1.668670404095243e-05,0,LR
3,13,1000,30,30,50,6.25063786708045e-06,0,LR
4,13,10000,30,30,50,3.334452579028677e-06,0,LR
0,14,1,30,30,50,inf,0,LR
1,14,10,30,30,50,7.540825976792326e-05,0,LR
2,14,100,30,30,50,1.39851794748871e-06,0,LR
3,14,1000,30,30,50,1.4530602613191951e-06,0,LR
4,14,10000,30,30,50,9.66253712404098e-07,0,LR
0,15,1,30,30,50,2.8479990442771937e+42,0,LR
1,15,10,30,30,50,0.0010036225943191757,0,LR
2,15,100,30,30,50,5.107706137867902e-08,0,LR
3,15,1000,30,30,50,1.9213661261765567e-08,0,LR
4,15,10000,30,30,50,1.506724496578254e-08,0,LR
0,16,1,30,30,50,4.593400245327067e+70,0,LR
1,16,10,30,30,50,0.00016299705696379722,0,LR
2,16,100,30,30,50,5.326026241447308e-07,0,LR
3,16,1000,30,30,50,5.129777832434643e-07,0,LR
4,16,10000,30,30,50,5.450093529058355e-07,0,LR
