,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,6,6,50,29.529711261394727,0,LR
1,0,10,6,6,50,1.133980580366967e-06,0,LR
2,0,100,6,6,50,1.4580034455650615e-07,0,LR
3,0,1000,6,6,50,1.3663871168909854e-07,0,LR
4,0,10000,6,6,50,1.3754900183532802e-07,0,LR
0,1,1,6,6,50,8868.68272663885,0,LR
1,1,10,6,6,50,7.336215423551065e-05,0,LR
2,1,100,6,6,50,4.9632063415830016e-05,0,LR
3,1,1000,6,6,50,5.718661376689769e-05,0,LR
4,1,10000,6,6,50,4.747329847371241e-05,0,LR
0,2,1,6,6,50,3.9890630569581176,0,LR
1,2,10,6,6,50,1.7417287500366596e-07,0,LR
2,2,100,6,6,50,1.0570969506453641e-07,0,LR
3,2,1000,6,6,50,9.709251379051036e-08,0,LR
4,2,10000,6,6,50,1.084091510312754e-07,0,LR
0,3,1,6,6,50,5.675385257683405,0,LR
1,3,10,6,6,50,1.3263202794949313e-07,0,LR
2,3,100,6,6,50,8.357447560219254e-08,0,LR
3,3,1000,6,6,50,5.808932878983602e-08,0,LR
4,3,10000,6,6,50,5.6681345526819405e-08,0,LR
0,4,1,6,6,50,5.9638505352703435,0,LR
1,4,10,6,6,50,1.3854516277509e-07,0,LR
2,4,100,6,6,50,4.140774305441543e-08,0,LR
3,4,1000,6,6,50,4.9322666793309225e-08,0,LR
4,4,10000,6,6,50,4.5790344890726836e-08,0,LR
0,5,1,6,6,50,142.37722104254556,0,LR
1,5,10,6,6,50,3.3429383787141146e-07,0,LR
2,5,100,6,6,50,3.1880364420558226e-07,0,LR
3,5,1000,6,6,50,3.210161309357508e-07,0,LR
4,5,10000,6,6,50,3.462521930422042e-07,0,LR
0,6,1,6,6,50,0.9055398012756773,0,LR
1,6,10,6,6,50,1.695631699526522e-07,0,LR
2,6,100,6,6,50,4.758286790661653e-08,0,LR
3,6,1000,6,6,50,3.966081020789526e-08,0,LR
4,6,10000,6,6,50,4.0095151943669574e-08,0,LR
0,7,1,6,6,50,70592645.82113113,0,LR
1,7,10,6,6,50,0.0030920150570477333,0,LR
2,7,100,6,6,50,0.0020837530474264337,0,LR
3,7,1000,6,6,50,0.0026533877401241877,0,LR
4,7,10000,6,6,50,0.0021452611383614537,0,LR
0,8,1,6,6,50,3766.47481406384,0,LR
1,8,10,6,6,50,1.3564936007468553e-06,0,LR
2,8,100,6,6,50,8.455882604682193e-07,0,LR
3,8,1000,6,6,50,9.538986092177252e-07,0,LR
4,8,10000,6,6,50,8.889667652263861e-07,0,LR
0,9,1,6,6,50,26.432934065048823,0,LR
1,9,10,6,6,50,7.114391197788007e-07,0,LR
2,9,100,6,6,50,1.5639465503387858e-07,0,LR
3,9,1000,6,6,50,1.1039813434021666e-07,0,LR
4,9,10000,6,6,50,1.1266000326478574e-07,0,LR
0,10,1,6,6,50,11.190095252999301,0,LR
1,10,10,6,6,50,4.238589958651943e-07,0,LR
2,10,100,6,6,50,3.858296128715969e-07,0,LR
3,10,1000,6,6,50,4.277598568636856e-07,0,LR
4,10,10000,6,6,50,4.103417545030906e-07,0,LR
0,11,1,6,6,50,35.4953779481932,0,LR
1,11,10,6,6,50,4.7674342981553954e-07,0,LR
2,11,100,6,6,50,2.3526984959403005e-07,0,LR
3,11,1000,6,6,50,3.202214856634854e-07,0,LR
4,11,10000,6,6,50,2.7398452622803596e-07,0,LR
0,12,1,6,6,50,116.71550320258528,0,LR
1,12,10,6,6,50,4.198789169812679e-07,0,LR
2,12,100,6,6,50,1.4404429797283662e-07,0,LR
3,12,1000,6,6,50,1.3164409881492648e-07,0,LR
4,12,10000,6,6,50,1.6471492959949811e-07,0,LR
0,13,1,6,6,50,4.597741039670619,0,LR
1,13,10,6,6,50,7.724177054295597e-07,0,LR
2,13,100,6,6,50,1.3700554288566507e-07,0,LR
3,13,1000,6,6,50,1.0929504093451018e-07,0,LR
4,13,10000,6,6,50,8.738571435784727e-08,0,LR
0,14,1,6,6,50,1.9013841225013064,0,LR
1,14,10,6,6,50,3.571284239805927e-07,0,LR
2,14,100,6,6,50,1.1053733033800234e-07,0,LR
3,14,1000,6,6,50,9.78296119342597e-08,0,LR
4,14,10000,6,6,50,9.450402195364399e-08,0,LR
0,15,1,6,6,50,46.20531665039464,0,LR
1,15,10,6,6,50,5.25265661579214e-07,0,LR
2,15,100,6,6,50,3.504521946058776e-07,0,LR
3,15,1000,6,6,50,2.5332794466334677e-07,0,LR
4,15,10000,6,6,50,2.7203563394863543e-07,0,LR
0,16,1,6,6,50,53.9903663036215,0,LR
1,16,10,6,6,50,6.743535331934354e-07,0,LR
2,16,100,6,6,50,7.002432746232233e-07,0,LR
3,16,1000,6,6,50,7.003859589101465e-07,0,LR
4,16,10000,6,6,50,7.276454821783512e-07,0,LR
0,17,1,6,6,50,1.6475259188365152,0,LR
1,17,10,6,6,50,3.609014084426775e-07,0,LR
2,17,100,6,6,50,4.766773257220531e-08,0,LR
3,17,1000,6,6,50,3.62038611818746e-08,0,LR
4,17,10000,6,6,50,3.831581571704679e-08,0,LR
0,18,1,6,6,50,7.89788484622892,0,LR
1,18,10,6,6,50,1.772661057106804e-07,0,LR
2,18,100,6,6,50,1.8365220915936557e-07,0,LR
3,18,1000,6,6,50,1.6002833312955803e-07,0,LR
4,18,10000,6,6,50,1.3992963488918788e-07,0,LR
0,19,1,6,6,50,163.3367373420006,0,LR
1,19,10,6,6,50,2.3777266569076126e-06,0,LR
2,19,100,6,6,50,2.275643337272544e-06,0,LR
3,19,1000,6,6,50,1.437102348662371e-06,0,LR
4,19,10000,6,6,50,1.8177351083549867e-06,0,LR
0,20,1,6,6,50,4.806204859760273,0,LR
1,20,10,6,6,50,2.153649002687441e-07,0,LR
2,20,100,6,6,50,1.151226924942392e-07,0,LR
3,20,1000,6,6,50,1.0897246578250932e-07,0,LR
4,20,10000,6,6,50,1.0680682546082081e-07,0,LR
0,21,1,6,6,50,1636.6333362712721,0,LR
1,21,10,6,6,50,3.1503560808846724e-07,0,LR
2,21,100,6,6,50,1.2402080350225295e-07,0,LR
3,21,1000,6,6,50,3.486286446889755e-08,0,LR
4,21,10000,6,6,50,3.1049306869618956e-08,0,LR
0,22,1,6,6,50,194.342143842649,0,LR
1,22,10,6,6,50,4.886249768881033e-06,0,LR
2,22,100,6,6,50,1.2824036476778932e-06,0,LR
3,22,1000,6,6,50,1.2271287013837384e-06,0,LR
4,22,10000,6,6,50,8.235624256193578e-07,0,LR
0,23,1,6,6,50,1919552.9927806107,0,LR
1,23,10,6,6,50,0.0009227781566786283,0,LR
2,23,100,6,6,50,0.0007462918954249282,0,LR
3,23,1000,6,6,50,0.0007906140469423603,0,LR
4,23,10000,6,6,50,0.0007423522063703831,0,LR
0,24,1,6,6,50,19105459.38894514,0,LR
1,24,10,6,6,50,4.691537533388449e-05,0,LR
2,24,100,6,6,50,4.991585677489147e-05,0,LR
3,24,1000,6,6,50,5.005742343528819e-05,0,LR
4,24,10000,6,6,50,5.135978803339969e-05,0,LR
0,25,1,6,6,50,24.295943091974195,0,LR
1,25,10,6,6,50,2.766520296720384e-06,0,LR
2,25,100,6,6,50,6.753699548327474e-08,0,LR
3,25,1000,6,6,50,3.8342945850674594e-08,0,LR
4,25,10000,6,6,50,4.6642748822227186e-08,0,LR
0,26,1,6,6,50,673.0223391671979,0,LR
1,26,10,6,6,50,7.147800679517891e-06,0,LR
2,26,100,6,6,50,2.1461837338675596e-06,0,LR
3,26,1000,6,6,50,1.4626776421841005e-06,0,LR
4,26,10000,6,6,50,1.3075089755392972e-06,0,LR
0,27,1,6,6,50,13.15106467644638,0,LR
1,27,10,6,6,50,8.817695094209871e-08,0,LR
2,27,100,6,6,50,4.871697135142745e-08,0,LR
3,27,1000,6,6,50,4.4960896026613777e-08,0,LR
4,27,10000,6,6,50,4.877463443977436e-08,0,LR
0,28,1,6,6,50,27.399573255796327,0,LR
1,28,10,6,6,50,2.674658731336646e-05,0,LR
2,28,100,6,6,50,2.8796227166742403e-07,0,LR
3,28,1000,6,6,50,2.561729950573933e-07,0,LR
4,28,10000,6,6,50,2.7470778004347407e-07,0,LR
0,29,1,6,6,50,10.45602759438763,0,LR
1,29,10,6,6,50,3.4230911877464464e-07,0,LR
2,29,100,6,6,50,1.9026073376302874e-07,0,LR
3,29,1000,6,6,50,1.8750066260145477e-07,0,LR
4,29,10000,6,6,50,2.079956454384549e-07,0,LR
