,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,10,50,50,50,0,89.07951719182796,0,"DNN (50, True)"
1,0,50,50,50,50,0,91.20738937456757,0,"DNN (50, True)"
2,0,100,50,50,50,0,81.37550063739286,0,"DNN (50, True)"
3,0,400,50,50,50,0,55.522963860012375,0,"DNN (50, True)"
4,0,600,50,50,50,0,64.03619152736135,0,"DNN (50, True)"
5,0,1000,50,50,50,0,55.47442830619528,0,"DNN (50, True)"
0,1,10,50,50,50,0,238.60485939296112,0,"DNN (50, True)"
1,1,50,50,50,50,0,206.01959266670016,0,"DNN (50, True)"
2,1,100,50,50,50,0,138511107033490.14,0,"DNN (50, True)"
3,1,400,50,50,50,0,169.70938520190583,0,"DNN (50, True)"
4,1,600,50,50,50,0,175.9815719418969,0,"DNN (50, True)"
5,1,1000,50,50,50,0,154.50201518253033,0,"DNN (50, True)"
0,2,10,50,50,50,0,71.20468823125069,0,"DNN (50, True)"
1,2,50,50,50,50,0,80.93791069133994,0,"DNN (50, True)"
2,2,100,50,50,50,0,59.71740440943151,0,"DNN (50, True)"
3,2,400,50,50,50,0,55.952973884381734,0,"DNN (50, True)"
4,2,600,50,50,50,0,70.7583179199305,0,"DNN (50, True)"
5,2,1000,50,50,50,0,63.41173511138962,0,"DNN (50, True)"
0,3,10,50,50,50,0,335.51956925453874,0,"DNN (50, True)"
1,3,50,50,50,50,0,5048.683826089991,0,"DNN (50, True)"
2,3,100,50,50,50,0,306.36313203498617,0,"DNN (50, True)"
3,3,400,50,50,50,0,210.8057923234815,0,"DNN (50, True)"
4,3,600,50,50,50,0,245.40167065792073,0,"DNN (50, True)"
5,3,1000,50,50,50,0,144.97536987498563,0,"DNN (50, True)"
