,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,10,6,6,50,0,2012.9612922920605,0,"DNN (6, False)"
1,0,50,6,6,50,0,1129.8223795995334,0,"DNN (6, False)"
2,0,100,6,6,50,0,2047.9293343166546,0,"DNN (6, False)"
3,0,200,6,6,50,0,1705.2277267109466,0,"DNN (6, False)"
4,0,300,6,6,50,0,6896.892076947498,0,"DNN (6, False)"
5,0,400,6,6,50,0,3157.1634727675023,0,"DNN (6, False)"
6,0,500,6,6,50,0,6014.153118727715,0,"DNN (6, False)"
7,0,600,6,6,50,0,6632.047133413413,0,"DNN (6, False)"
8,0,1000,6,6,50,0,3058.2336415768973,0,"DNN (6, False)"
0,1,10,6,6,50,0,10.77676551616691,0,"DNN (6, False)"
1,1,50,6,6,50,0,6.986448394722507,0,"DNN (6, False)"
2,1,100,6,6,50,0,4.429017304303325,0,"DNN (6, False)"
3,1,200,6,6,50,0,3.149543495826163,0,"DNN (6, False)"
4,1,300,6,6,50,0,0.8449737771434878,0,"DNN (6, False)"
5,1,400,6,6,50,0,1.0175338406783239,0,"DNN (6, False)"
6,1,500,6,6,50,0,0.8142852443214433,0,"DNN (6, False)"
7,1,600,6,6,50,0,1.560774732971046,0,"DNN (6, False)"
8,1,1000,6,6,50,0,1.3273572175370159,0,"DNN (6, False)"
0,2,10,6,6,50,0,0.7488056024937363,0,"DNN (6, False)"
1,2,50,6,6,50,0,0.23950516809238453,0,"DNN (6, False)"
2,2,100,6,6,50,0,0.06211336090433219,0,"DNN (6, False)"
3,2,200,6,6,50,0,0.068162508279289,0,"DNN (6, False)"
4,2,300,6,6,50,0,0.06652321472750854,0,"DNN (6, False)"
5,2,400,6,6,50,0,0.11582748645347472,0,"DNN (6, False)"
6,2,500,6,6,50,0,0.09677065048590021,0,"DNN (6, False)"
7,2,600,6,6,50,0,0.1057691603527679,0,"DNN (6, False)"
8,2,1000,6,6,50,0,0.08028481055101937,0,"DNN (6, False)"
0,3,10,6,6,50,0,9.641015281372734,0,"DNN (6, False)"
1,3,50,6,6,50,0,4.913468363373442,0,"DNN (6, False)"
2,3,100,6,6,50,0,9.890898442517008,0,"DNN (6, False)"
3,3,200,6,6,50,0,1.5486664468900537,0,"DNN (6, False)"
4,3,300,6,6,50,0,0.24477289506908306,0,"DNN (6, False)"
5,3,400,6,6,50,0,1.901924090068749,0,"DNN (6, False)"
6,3,500,6,6,50,0,0.07461808441955366,0,"DNN (6, False)"
7,3,600,6,6,50,0,0.17705941379179657,0,"DNN (6, False)"
8,3,1000,6,6,50,0,0.6126266802694399,0,"DNN (6, False)"
