,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,1,100,100,50,0,17.549442552416977,0,DNN (True)
1,0,3,100,100,50,0,17.30071727833749,0,DNN (True)
2,0,2,100,100,50,0,17.42783150938101,0,DNN (True)
3,0,1,100,100,50,0,21.95241611084841,0,DNN (True)
4,1,1,100,100,50,0,443.6028155313,0,DNN (True)
5,1,3,100,100,50,0,489.0088674539106,0,DNN (True)
6,1,2,100,100,50,0,429.8142824549502,0,DNN (True)
7,1,1,100,100,50,0,360.2712768040684,0,DNN (True)
8,2,1,100,100,50,0,265.7399264357311,0,DNN (True)
9,2,3,100,100,50,0,290.53633854450055,0,DNN (True)
10,2,2,100,100,50,0,351.6015245021058,0,DNN (True)
11,2,1,100,100,50,0,283.37301244002686,0,DNN (True)
12,3,1,100,100,50,0,135624.25035286442,0,DNN (True)
13,3,3,100,100,50,0,135319.25953276866,0,DNN (True)
14,3,7,100,100,50,0,134259.76498683213,0,DNN (True)
15,3,15,100,100,50,0,135177.8197852537,0,DNN (True)
16,3,31,100,100,50,0,135765.9301125926,0,DNN (True)
17,3,63,100,100,50,0,130722.73888881631,0,DNN (True)
18,3,127,100,100,50,0,124627.74767191109,0,DNN (True)
19,3,255,100,100,50,0,97387.56862594947,0,DNN (True)
20,3,511,100,100,50,0,203058.8243580238,0,DNN (True)
21,3,1023,100,100,50,0,70231.46987820687,0,DNN (True)
22,3,2047,100,100,50,0,84815.91134543599,0,DNN (True)
23,3,4095,100,100,50,0,71452.42240883221,0,DNN (True)
24,3,8191,100,100,50,0,71842.11678511664,0,DNN (True)
25,3,10000,100,100,50,0,52817.648457775955,0,DNN (True)
26,0,3,50,50,50,0,551.9647315688117,0,DNN (True)
27,0,1,50,50,50,0,581.0551404593637,0,DNN (True)
28,0,5,50,50,50,0,575.273741725712,0,DNN (True)
29,0,3,50,50,50,0,551.9926873753119,0,DNN (True)
30,0,2,50,50,50,0,557.9435963530336,0,DNN (True)
31,0,1,50,50,50,0,597.1616558546871,0,DNN (True)
32,1,3,50,50,50,0,40.358291329274905,0,DNN (True)
33,1,1,50,50,50,0,38.457263876585756,0,DNN (True)
34,1,5,50,50,50,0,33.171100900451485,0,DNN (True)
35,1,3,50,50,50,0,32.41743399583565,0,DNN (True)
36,1,2,50,50,50,0,41.92992890124347,0,DNN (True)
37,1,1,50,50,50,0,20709.739344495625,0,DNN (True)
38,2,3,50,50,50,0,48.292542279208455,0,DNN (True)
39,2,1,50,50,50,0,46.8259416668089,0,DNN (True)
40,2,5,50,50,50,0,589.1155693221334,0,DNN (True)
41,2,3,50,50,50,0,51.64671453356449,0,DNN (True)
42,2,2,50,50,50,0,50.39580915707434,0,DNN (True)
43,2,1,50,50,50,0,44.31958374620031,0,DNN (True)
44,3,3,50,50,50,0,1811.427246618574,0,DNN (True)
45,3,5,50,50,50,0,1735.8782669257864,0,DNN (True)
46,3,9,50,50,50,0,153353.0659872603,0,DNN (True)
47,3,17,50,50,50,0,1521.1004692281258,0,DNN (True)
48,3,33,50,50,50,0,1652.1177351045958,0,DNN (True)
49,3,65,50,50,50,0,1193.1777836458436,0,DNN (True)
50,3,129,50,50,50,0,6504.016162982827,0,DNN (True)
51,3,257,50,50,50,0,410.9737719569545,0,DNN (True)
52,3,193,50,50,50,0,792.2744803900281,0,DNN (True)
53,3,161,50,50,50,0,924.8202191330253,0,DNN (True)
54,3,145,50,50,50,0,1110.7363417296226,0,DNN (True)
55,3,153,50,50,50,0,639.9020873061248,0,DNN (True)
56,3,149,50,50,50,0,883.5042221126781,0,DNN (True)
57,3,147,50,50,50,0,634.5005937174468,0,DNN (True)
58,3,146,50,50,50,0,783.6889188403416,0,DNN (True)
59,3,145,50,50,50,0,626.4436634109816,0,DNN (True)
60,0,3,2,2,50,0,3.3294110809174597,0,DNN (True)
61,0,1,2,2,50,0,6.143822192259982,0,DNN (True)
62,0,9,2,2,50,0,0.02219176910287153,0,DNN (True)
63,0,5,2,2,50,0,0.0331579159181303,0,DNN (True)
64,0,3,2,2,50,0,3.234285065119733,0,DNN (True)
65,0,2,2,2,50,0,2.294051664801715,0,DNN (True)
66,0,1,2,2,50,0,6.129415842909757,0,DNN (True)
67,1,3,2,2,50,0,1.64816053892983,0,DNN (True)
68,1,1,2,2,50,0,3.5761054579651463,0,DNN (True)
69,1,9,2,2,50,0,0.0017210093437730152,0,DNN (True)
70,1,5,2,2,50,0,0.03652750347125023,0,DNN (True)
71,1,3,2,2,50,0,1.7068526657289014,0,DNN (True)
72,1,2,2,2,50,0,2.545485996013149,0,DNN (True)
73,1,1,2,2,50,0,3.4364913433036084,0,DNN (True)
74,2,3,2,2,50,0,0.08040797622914235,0,DNN (True)
75,2,1,2,2,50,0,0.20580235287481916,0,DNN (True)
76,2,9,2,2,50,0,0.0076517774725445445,0,DNN (True)
77,2,5,2,2,50,0,0.047859624743974004,0,DNN (True)
78,2,3,2,2,50,0,0.15550165792147905,0,DNN (True)
79,2,2,2,2,50,0,0.12065612277327259,0,DNN (True)
80,2,1,2,2,50,0,0.4433238786284133,0,DNN (True)
81,3,3,2,2,50,0,0.029582540559612083,0,DNN (True)
82,3,1,2,2,50,0,1.6967100591008348,0,DNN (True)
83,3,9,2,2,50,0,0.0026928704108092004,0,DNN (True)
84,3,5,2,2,50,0,0.007099403131087952,0,DNN (True)
85,3,3,2,2,50,0,0.01551328344296568,0,DNN (True)
86,3,2,2,2,50,0,0.040228069928143845,0,DNN (True)
87,3,1,2,2,50,0,1.7752746066800305,0,DNN (True)
