,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,1,2,2,50,0,27.063362100884934,0,DNN (False)
1,0,3,2,2,50,0,31.726718077064493,0,DNN (False)
2,0,2,2,2,50,0,43.48249055623315,0,DNN (False)
3,0,1,2,2,50,0,43.68235875274961,0,DNN (False)
4,1,1,2,2,50,0,2.359092505131914,0,DNN (False)
5,1,3,2,2,50,0,0.025484639680659345,0,DNN (False)
6,1,2,2,2,50,0,0.026147582653449405,0,DNN (False)
7,1,1,2,2,50,0,2.398466651109266,0,DNN (False)
8,2,1,2,2,50,0,0.6627319700990807,0,DNN (False)
9,2,3,2,2,50,0,0.03540777203904853,0,DNN (False)
10,2,2,2,2,50,0,0.14083381257759695,0,DNN (False)
11,2,1,2,2,50,0,0.5779496228050691,0,DNN (False)
12,3,1,2,2,50,0,0.3709426136791728,0,DNN (False)
13,3,3,2,2,50,0,0.0035340185751580634,0,DNN (False)
14,3,2,2,2,50,0,0.048906542695433895,0,DNN (False)
15,3,1,2,2,50,0,0.311425515747211,0,DNN (False)
16,0,2,50,50,50,0,41.79317724831894,0,DNN (False)
17,0,1,50,50,50,0,72288524871.98833,0,DNN (False)
18,0,4,50,50,50,0,31.452219671610663,0,DNN (False)
19,0,2,50,50,50,0,45.17497796950419,0,DNN (False)
20,0,1,50,50,50,0,39.54305615221581,0,DNN (False)
21,1,2,50,50,50,0,879.6969268677998,0,DNN (False)
22,1,1,50,50,50,0,839.7299465066233,0,DNN (False)
23,1,4,50,50,50,0,862.9754032458382,0,DNN (False)
24,1,2,50,50,50,0,895.8971769199889,0,DNN (False)
25,1,1,50,50,50,0,852.135418859724,0,DNN (False)
26,2,2,50,50,50,0,43.73629697224806,0,DNN (False)
27,2,1,50,50,50,0,42.9391015518555,0,DNN (False)
28,2,4,50,50,50,0,57.07428336056293,0,DNN (False)
29,2,2,50,50,50,0,47.57508101352412,0,DNN (False)
30,2,1,50,50,50,0,54.81818638014161,0,DNN (False)
31,3,2,50,50,50,0,28.336280488485542,0,DNN (False)
32,3,1,50,50,50,0,52.9603755263529,0,DNN (False)
33,3,4,50,50,50,0,31.019402512457162,0,DNN (False)
34,3,2,50,50,50,0,31.879642733130108,0,DNN (False)
35,3,1,50,50,50,0,26.130355812093022,0,DNN (False)
36,0,2,100,100,50,0,1628.7940768605272,0,DNN (False)
37,0,1,100,100,50,0,1634.1666354965082,0,DNN (False)
38,0,6,100,100,50,0,1645.4214619131408,0,DNN (False)
39,0,3,100,100,50,0,1617.8320071181065,0,DNN (False)
40,0,2,100,100,50,0,1656.6559094683334,0,DNN (False)
41,0,1,100,100,50,0,1620.579801176229,0,DNN (False)
42,1,2,100,100,50,0,343.132232030848,0,DNN (False)
43,1,1,100,100,50,0,63450.659770132654,0,DNN (False)
44,1,6,100,100,50,0,405.7801855445731,0,DNN (False)
45,1,3,100,100,50,0,403.7417870007789,0,DNN (False)
46,1,2,100,100,50,0,380.32115964497103,0,DNN (False)
47,1,1,100,100,50,0,3123.332313284519,0,DNN (False)
48,2,2,100,100,50,0,583.2465925975231,0,DNN (False)
49,2,1,100,100,50,0,597.6569383914791,0,DNN (False)
50,2,6,100,100,50,0,583.2462611190208,0,DNN (False)
51,2,3,100,100,50,0,578.2519693794001,0,DNN (False)
52,2,2,100,100,50,0,591.8236157575228,0,DNN (False)
53,2,1,100,100,50,0,573.0275573769941,0,DNN (False)
54,3,2,100,100,50,0,1044.7008382600256,0,DNN (False)
55,3,1,100,100,50,0,1055.8967189996977,0,DNN (False)
56,3,6,100,100,50,0,1056.2851109510384,0,DNN (False)
57,3,3,100,100,50,0,1061.3258395874554,0,DNN (False)
58,3,2,100,100,50,0,962.7381113515742,0,DNN (False)
59,3,1,100,100,50,0,1053.9461864239008,0,DNN (False)
