,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,1,2,2,50,0,0.001034435167944939,0,DNN (True)
1,0,3,2,2,50,0,0.005777092434009139,0,DNN (True)
2,0,2,2,2,50,0,0.024277326932542427,0,DNN (True)
3,0,1,2,2,50,0,0.00553650186990649,0,DNN (True)
4,1,1,2,2,50,0,3.501843262985746,0,DNN (True)
5,1,3,2,2,50,0,1.4502100422993824,0,DNN (True)
6,1,2,2,2,50,0,3.7782351178794285,0,DNN (True)
7,1,1,2,2,50,0,2.677934316872225,0,DNN (True)
8,2,1,2,2,50,0,218.28244784367848,0,DNN (True)
9,2,3,2,2,50,0,271.4759406174221,0,DNN (True)
10,2,2,2,2,50,0,208.6656068125655,0,DNN (True)
11,2,1,2,2,50,0,272.50407471305175,0,DNN (True)
12,3,1,2,2,50,0,0.46814577299881793,0,DNN (True)
13,3,3,2,2,50,0,0.007204625937273141,0,DNN (True)
14,3,2,2,2,50,0,0.09541211988255381,0,DNN (True)
15,3,1,2,2,50,0,0.41549906793685676,0,DNN (True)
16,0,2,50,50,50,0,127.97017476654382,0,DNN (True)
17,0,1,50,50,50,0,145.40863324693552,0,DNN (True)
18,0,4,50,50,50,0,343219.29413147236,0,DNN (True)
19,0,2,50,50,50,0,133.6046156815099,0,DNN (True)
20,0,1,50,50,50,0,141.97334599345723,0,DNN (True)
21,1,2,50,50,50,0,905.5807387563322,0,DNN (True)
22,1,1,50,50,50,0,886.2014462786896,0,DNN (True)
23,1,4,50,50,50,0,898.8843516051037,0,DNN (True)
24,1,2,50,50,50,0,907.0182374376927,0,DNN (True)
25,1,1,50,50,50,0,921.5605431374111,0,DNN (True)
26,2,2,50,50,50,0,61.737540700770126,0,DNN (True)
27,2,1,50,50,50,0,69.03738238971542,0,DNN (True)
28,2,4,50,50,50,0,65.42834037296876,0,DNN (True)
29,2,2,50,50,50,0,67.07854600797275,0,DNN (True)
30,2,1,50,50,50,0,111.54095448457319,0,DNN (True)
31,3,2,50,50,50,0,1502065.9244597766,0,DNN (True)
32,3,4,50,50,50,0,1502259.8799345887,0,DNN (True)
33,3,8,50,50,50,0,1501922.4504861375,0,DNN (True)
34,3,16,50,50,50,0,1502529.7936210008,0,DNN (True)
35,3,32,50,50,50,0,1501773.1369941924,0,DNN (True)
36,3,64,50,50,50,0,1501592.0240962505,0,DNN (True)
37,3,128,50,50,50,0,1502241.6939669196,0,DNN (True)
38,3,256,50,50,50,0,1498832.5983029527,0,DNN (True)
39,3,512,50,50,50,0,1481743.970134041,0,DNN (True)
40,3,1024,50,50,50,0,1586745.085521484,0,DNN (True)
41,3,2048,50,50,50,0,1490034.6488854587,0,DNN (True)
42,3,4096,50,50,50,0,1475618.7642609095,0,DNN (True)
43,3,8192,50,50,50,0,1483729.291533265,0,DNN (True)
44,3,10000,50,50,50,0,1456382.360649007,0,DNN (True)
45,0,4,100,100,50,0,12.70994807331632,0,DNN (True)
46,0,2,100,100,50,0,12.243182217316999,0,DNN (True)
47,0,1,100,100,50,0,13.198053300955326,0,DNN (True)
48,0,12,100,100,50,0,29899.499074336607,0,DNN (True)
49,0,6,100,100,50,0,29.943795093922994,0,DNN (True)
50,0,3,100,100,50,0,11.465111163714019,0,DNN (True)
51,0,2,100,100,50,0,12.484827796645108,0,DNN (True)
52,0,1,100,100,50,0,13.316241993092008,0,DNN (True)
53,1,4,100,100,50,0,637.419894947096,0,DNN (True)
54,1,2,100,100,50,0,642.8955180382261,0,DNN (True)
55,1,1,100,100,50,0,644.3889955561666,0,DNN (True)
56,1,12,100,100,50,0,646.5764362978011,0,DNN (True)
57,1,6,100,100,50,0,657.6066889992893,0,DNN (True)
58,1,3,100,100,50,0,640.8766567164271,0,DNN (True)
59,1,2,100,100,50,0,579227.0714675525,0,DNN (True)
60,1,1,100,100,50,0,643.2497038668312,0,DNN (True)
61,2,4,100,100,50,0,220086695.91680443,0,DNN (True)
62,2,12,100,100,50,0,220092106.86637843,0,DNN (True)
63,2,28,100,100,50,0,220076540.1674366,0,DNN (True)
64,2,60,100,100,50,0,220079582.09898034,0,DNN (True)
65,2,124,100,100,50,0,219926835.867501,0,DNN (True)
66,2,252,100,100,50,0,219829309.04323894,0,DNN (True)
67,2,508,100,100,50,0,219711323.81075782,0,DNN (True)
68,2,1020,100,100,50,0,218143248.17294034,0,DNN (True)
69,2,2044,100,100,50,0,215038159.30713412,0,DNN (True)
70,2,4092,100,100,50,0,210332632.43688655,0,DNN (True)
71,2,8188,100,100,50,0,203075441.53388354,0,DNN (True)
72,2,10000,100,100,50,0,179721061.85386562,0,DNN (True)
73,3,4,100,100,50,0,35.305133511737104,0,DNN (True)
74,3,2,100,100,50,0,34.99495583179511,0,DNN (True)
75,3,1,100,100,50,0,36.82341025192279,0,DNN (True)
76,3,12,100,100,50,0,36.361879281303594,0,DNN (True)
77,3,6,100,100,50,0,36.340357425707225,0,DNN (True)
78,3,3,100,100,50,0,37.59251125743686,0,DNN (True)
79,3,2,100,100,50,0,35.61964940976492,0,DNN (True)
80,3,1,100,100,50,0,36.52770505363478,0,DNN (True)
