,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,30,30,50,30.007565599184826,0,Simple
1,0,10,30,30,50,30.403869127445326,0,Simple
2,0,100,30,30,50,28.012092758599533,0,Simple
3,0,1000,30,30,50,11.910649931000908,0,Simple
4,0,10000,30,30,50,9.948645611839352,0,Simple
0,1,1,30,30,50,41.57181949398237,0,Simple
1,1,10,30,30,50,1174.4007737240515,0,Simple
2,1,100,30,30,50,33.81475714082241,0,Simple
3,1,1000,30,30,50,17.133338799482228,0,Simple
4,1,10000,30,30,50,28.382049811829184,0,Simple
0,2,1,30,30,50,38.901975517279205,0,Simple
1,2,10,30,30,50,86.75331206359456,0,Simple
2,2,100,30,30,50,30.947386078552128,0,Simple
3,2,1000,30,30,50,35.698136147330274,0,Simple
4,2,10000,30,30,50,24.287605870241958,0,Simple
0,3,1,30,30,50,71.00336573992224,0,Simple
1,3,10,30,30,50,136.53533523399366,0,Simple
2,3,100,30,30,50,61.75020165491569,0,Simple
3,3,1000,30,30,50,37.76429737439233,0,Simple
4,3,10000,30,30,50,18.00911075487483,0,Simple
0,4,1,30,30,50,39.31149955281289,0,Simple
1,4,10,30,30,50,2594.523096025399,0,Simple
2,4,100,30,30,50,23.511856106626535,0,Simple
3,4,1000,30,30,50,14.693944745094438,0,Simple
4,4,10000,30,30,50,6.211970535803543,0,Simple
0,5,1,30,30,50,1503.92043791814,0,Simple
1,5,10,30,30,50,1872.8900107403892,0,Simple
2,5,100,30,30,50,1535.5549911548928,0,Simple
3,5,1000,30,30,50,981.7981697464837,0,Simple
4,5,10000,30,30,50,722.6180873244399,0,Simple
0,6,1,30,30,50,6474.044316653331,0,Simple
1,6,10,30,30,50,1553.2149820893935,0,Simple
2,6,100,30,30,50,51.852052635483304,0,Simple
3,6,1000,30,30,50,30.28296148739462,0,Simple
4,6,10000,30,30,50,10.046754311419999,0,Simple
0,7,1,30,30,50,98.67068741260445,0,Simple
1,7,10,30,30,50,35760.67603705593,0,Simple
2,7,100,30,30,50,88.90563626035163,0,Simple
3,7,1000,30,30,50,41.773358229492295,0,Simple
4,7,10000,30,30,50,30.71102395253547,0,Simple
0,8,1,30,30,50,1.0574164563910506e+18,0,Simple
1,8,10,30,30,50,938.4490868185547,0,Simple
2,8,100,30,30,50,723.6082737814467,0,Simple
3,8,1000,30,30,50,816.0528358506741,0,Simple
4,8,10000,30,30,50,662.2369887913391,0,Simple
0,9,1,30,30,50,718.5852104550521,0,Simple
1,9,10,30,30,50,423.19958191907915,0,Simple
2,9,100,30,30,50,383.1008981672911,0,Simple
3,9,1000,30,30,50,267.2716661688104,0,Simple
4,9,10000,30,30,50,284.69020234003676,0,Simple
0,10,1,30,30,50,10.003346291003337,0,Simple
1,10,10,30,30,50,11.481691663946116,0,Simple
2,10,100,30,30,50,7.458427982670309,0,Simple
3,10,1000,30,30,50,5.652517685606624,0,Simple
4,10,10000,30,30,50,3.8550620166630356,0,Simple
0,11,1,30,30,50,708.7440390436592,0,Simple
1,11,10,30,30,50,51297.92235614551,0,Simple
2,11,100,30,30,50,631.8948935966761,0,Simple
3,11,1000,30,30,50,378.07040942061866,0,Simple
4,11,10000,30,30,50,232.26524620780003,0,Simple
0,12,1,30,30,50,45.59522401672678,0,Simple
1,12,10,30,30,50,48.79599733964641,0,Simple
2,12,100,30,30,50,54.95452670540916,0,Simple
3,12,1000,30,30,50,16.39283765967649,0,Simple
4,12,10000,30,30,50,10.612176289724642,0,Simple
0,13,1,30,30,50,170.46979104784143,0,Simple
1,13,10,30,30,50,124.19983312653572,0,Simple
2,13,100,30,30,50,109.4500975615963,0,Simple
3,13,1000,30,30,50,167.37811233437316,0,Simple
4,13,10000,30,30,50,91.33238991638876,0,Simple
0,14,1,30,30,50,1233.66151663129,0,Simple
1,14,10,30,30,50,1252.1158833416534,0,Simple
2,14,100,30,30,50,1167.561050205804,0,Simple
3,14,1000,30,30,50,764.1658512225575,0,Simple
4,14,10000,30,30,50,150.98149025088648,0,Simple
0,15,1,30,30,50,23008.052188658716,0,Simple
1,15,10,30,30,50,34.14807365914316,0,Simple
2,15,100,30,30,50,16.76643017453171,0,Simple
3,15,1000,30,30,50,10.690053992312455,0,Simple
4,15,10000,30,30,50,8.317754008206839,0,Simple
0,16,1,30,30,50,5.593731983232224,0,Simple
1,16,10,30,30,50,5.845257703469484,0,Simple
2,16,100,30,30,50,5.305361027949789,0,Simple
3,16,1000,30,30,50,1.9556721190158086,0,Simple
4,16,10000,30,30,50,1.760804847580586,0,Simple
0,17,1,30,30,50,6136.606589389701,0,Simple
1,17,10,30,30,50,6271.478757240205,0,Simple
2,17,100,30,30,50,6320.105598506436,0,Simple
3,17,1000,30,30,50,14456.169913591682,0,Simple
4,17,10000,30,30,50,2609.038122660153,0,Simple
0,18,1,30,30,50,13.039706559902024,0,Simple
1,18,10,30,30,50,12.771210743046556,0,Simple
2,18,100,30,30,50,13.130504309678402,0,Simple
3,18,1000,30,30,50,4.459650353160299,0,Simple
4,18,10000,30,30,50,2.2292913697641565,0,Simple
0,19,1,30,30,50,98.32549861468995,0,Simple
1,19,10,30,30,50,113.62788952453901,0,Simple
2,19,100,30,30,50,112.25895613798916,0,Simple
3,19,1000,30,30,50,16.430921288103654,0,Simple
4,19,10000,30,30,50,14.838323858886671,0,Simple
0,20,1,30,30,50,1167.0156426933506,0,Simple
1,20,10,30,30,50,1054.857533998328,0,Simple
2,20,100,30,30,50,929.3003646716104,0,Simple
