,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,6,6,50,87.59822931678904,0,Simple
1,0,10,6,6,50,63928.90432636085,0,Simple
2,0,100,6,6,50,95.29281578324425,0,Simple
3,0,1000,6,6,50,11.882617581518298,0,Simple
4,0,10000,6,6,50,2.2484425042120084,0,Simple
0,1,1,6,6,50,5610820.1555984905,0,Simple
1,1,10,6,6,50,6141927.0968117975,0,Simple
2,1,100,6,6,50,5200836.287083832,0,Simple
3,1,1000,6,6,50,5999399.436654153,0,Simple
4,1,10000,6,6,50,57972318.69773203,0,Simple
0,2,1,6,6,50,25.755634115044316,0,Simple
1,2,10,6,6,50,31.447352227312688,0,Simple
2,2,100,6,6,50,32.16009857438524,0,Simple
3,2,1000,6,6,50,1.0969522416977553,0,Simple
4,2,10000,6,6,50,3.2587962767762364,0,Simple
0,3,1,6,6,50,895.198016459462,0,Simple
1,3,10,6,6,50,4.997847926156738,0,Simple
2,3,100,6,6,50,4.348637240021986,0,Simple
3,3,1000,6,6,50,0.33701728050140717,0,Simple
4,3,10000,6,6,50,0.17246609836937873,0,Simple
0,4,1,6,6,50,23618.435825440305,0,Simple
1,4,10,6,6,50,3.125726292187698,0,Simple
2,4,100,6,6,50,1.7204837392840746,0,Simple
3,4,1000,6,6,50,0.30646205991579495,0,Simple
4,4,10000,6,6,50,0.19074283356456812,0,Simple
0,5,1,6,6,50,54149.04407486686,0,Simple
1,5,10,6,6,50,46781.956005295244,0,Simple
2,5,100,6,6,50,42143.98676489916,0,Simple
3,5,1000,6,6,50,69345.23173083169,0,Simple
4,5,10000,6,6,50,55988.570930657115,0,Simple
0,6,1,6,6,50,7.835130841350497,0,Simple
1,6,10,6,6,50,5.809526174010737,0,Simple
2,6,100,6,6,50,1.0259830783814736,0,Simple
3,6,1000,6,6,50,0.11712858359621568,0,Simple
4,6,10000,6,6,50,0.12403738588943565,0,Simple
0,7,1,6,6,50,63.25100053653399,0,Simple
1,7,10,6,6,50,3092.154106365975,0,Simple
2,7,100,6,6,50,1.396678337130551,0,Simple
3,7,1000,6,6,50,0.05595981272914228,0,Simple
4,7,10000,6,6,50,0.07427679225078017,0,Simple
0,8,1,6,6,50,3.46770661569054,0,Simple
1,8,10,6,6,50,4604003643.882939,0,Simple
2,8,100,6,6,50,2.5507981980420524,0,Simple
3,8,1000,6,6,50,0.17578613163582468,0,Simple
4,8,10000,6,6,50,0.198560239885021,0,Simple
0,9,1,6,6,50,48.22952778707923,0,Simple
1,9,10,6,6,50,62.23495855259289,0,Simple
2,9,100,6,6,50,42.850814749270256,0,Simple
3,9,1000,6,6,50,79.15783181013335,0,Simple
4,9,10000,6,6,50,2.339401902584472,0,Simple
0,10,1,6,6,50,0.9750229990087088,0,Simple
1,10,10,6,6,50,173.9831814446118,0,Simple
2,10,100,6,6,50,0.4874400627843867,0,Simple
3,10,1000,6,6,50,0.05894261518846527,0,Simple
4,10,10000,6,6,50,0.07770423410832542,0,Simple
0,11,1,6,6,50,1.0363480153546554,0,Simple
1,11,10,6,6,50,1.7746300703729012,0,Simple
2,11,100,6,6,50,1.103326787327153,0,Simple
