,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,10,10,50,0,19066331480.22265,0,LR (TLN)
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,50,10,10,50,0,249463.30508414307,0,LR (TLN)
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,100,10,10,50,0,0.1811131677288361,0,LR (TLN)
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1,11,10,10,50,0,4.526039912307803e+19,0,LR (TLN)
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,50,10,10,50,0,104.7097534474508,0,LR (TLN)
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1,100,10,10,50,0,2.6657830916160053e+19,0,LR (TLN)
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,2,11,10,10,50,0,2.226595682160201e+33,0,LR (TLN)
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2,50,10,10,50,0,2571288522739.874,0,LR (TLN)
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2,100,10,10,50,0,32.03586731011884,0,LR (TLN)
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,3,11,10,10,50,0,211041.3596772838,0,LR (TLN)
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,3,50,10,10,50,0,12.232342525973865,0,LR (TLN)
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2.0,3,100,10,10,50,0,2.5582658355220748e+29,0,LR (TLN)
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,4,11,10,10,50,0,11.830335418816473,0,LR (TLN)
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,4,50,10,10,50,0,113.3093215151082,0,LR (TLN)
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,4,100,10,10,50,0,27388270393.69181,0,LR (TLN)
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,5,11,10,10,50,0,121.65807180755571,0,LR (TLN)
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1.0,5,50,10,10,50,0,7.056396363886595e+300,0,LR (TLN)
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,2.0,5,100,10,10,50,0,1.6403523799966372e+16,0,LR (TLN)
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,6,11,10,10,50,0,1.9684564246660686e+82,0,LR (TLN)
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,1.0,6,50,10,10,50,0,2.080136652834552e+17,0,LR (TLN)
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2.0,6,100,10,10,50,0,19.55998584292036,0,LR (TLN)
