,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0.0,0,10,10,10,50,0,276099.4645727209,0,"LR (10, False)"
1,1.0,1.0,0,50,10,10,50,0,403133658.373009,0,"LR (10, False)"
2,2.0,2.0,0,100,10,10,50,0,1.0628505431744532e+213,0,"LR (10, False)"
3,3.0,0.0,1,10,10,10,50,0,6.3918523584375656e+16,0,"LR (10, False)"
4,4.0,1.0,1,50,10,10,50,0,134304876662.47104,0,"LR (10, False)"
5,5.0,2.0,1,100,10,10,50,0,3.5564236405988274,0,"LR (10, False)"
6,6.0,0.0,2,10,10,10,50,0,7773153080.587687,0,"LR (10, False)"
7,7.0,1.0,2,50,10,10,50,0,3.019118540541962e+237,0,"LR (10, False)"
8,8.0,2.0,2,100,10,10,50,0,0.527974678225738,0,"LR (10, False)"
9,9.0,0.0,3,10,10,10,50,0,274.45711650018904,0,"LR (10, False)"
10,10.0,1.0,3,50,10,10,50,0,0.4736217369620695,0,"LR (10, False)"
11,11.0,2.0,3,100,10,10,50,0,38.92083088098167,0,"LR (10, False)"
12,12.0,0.0,4,10,10,10,50,0,283575409.16432464,0,"LR (10, False)"
13,13.0,1.0,4,50,10,10,50,0,62.84653637003396,0,"LR (10, False)"
14,14.0,2.0,4,100,10,10,50,0,1.4822158626629902,0,"LR (10, False)"
15,15.0,0.0,5,10,10,10,50,0,552698054667.8145,0,"LR (10, False)"
16,16.0,1.0,5,50,10,10,50,0,4.564110328737465,0,"LR (10, False)"
17,17.0,2.0,5,100,10,10,50,0,78759828319158.03,0,"LR (10, False)"
18,18.0,0.0,6,10,10,10,50,0,1752.3195666595225,0,"LR (10, False)"
19,19.0,1.0,6,50,10,10,50,0,4.262703351209396e+236,0,"LR (10, False)"
20,20.0,2.0,6,100,10,10,50,0,7.223803228832912,0,"LR (10, False)"
21,21.0,0.0,7,10,10,10,50,0,226.21563964423484,0,"LR (10, False)"
22,22.0,1.0,7,50,10,10,50,0,28849348579473.26,0,"LR (10, False)"
23,23.0,2.0,7,100,10,10,50,0,20.93985229913815,0,"LR (10, False)"
24,24.0,0.0,8,10,10,10,50,0,8.484878176898523e+36,0,"LR (10, False)"
25,25.0,1.0,8,50,10,10,50,0,98035.9068636735,0,"LR (10, False)"
26,26.0,2.0,8,100,10,10,50,0,7.175564035275643,0,"LR (10, False)"
27,27.0,0.0,9,10,10,10,50,0,2579159.8061458347,0,"LR (10, False)"
28,28.0,1.0,9,50,10,10,50,0,1939231.9578803373,0,"LR (10, False)"
29,29.0,2.0,9,100,10,10,50,0,9.749626149951456e+88,0,"LR (10, False)"
30,0.0,,0,10,10,10,50,0,inf,0,"LR (10, False)"
31,0.0,,1,10,10,10,50,0,0.6396040049479985,0,"LR (10, False)"
32,0.0,,2,10,10,10,50,0,3.769413566556914e+26,0,"LR (10, False)"
33,0.0,,3,10,10,10,50,0,1.1000624999373816e+22,0,"LR (10, False)"
34,0.0,,4,10,10,10,50,0,6.151670333655273e+28,0,"LR (10, False)"
35,0.0,,5,10,10,10,50,0,24744.98463113993,0,"LR (10, False)"
36,0.0,,6,10,10,10,50,0,2.455297700324987e+18,0,"LR (10, False)"
37,0.0,,7,10,10,10,50,0,200532.48620846463,0,"LR (10, False)"
38,0.0,,8,10,10,10,50,0,1532598.064358506,0,"LR (10, False)"
39,0.0,,9,10,10,10,50,0,7.813936799604541e+37,0,"LR (10, False)"
0,,,0,10,10,10,50,0,2023395817051907.2,0,"LR (10, False)"
0,,,1,10,10,10,50,0,19.690838364650887,0,"LR (10, False)"
0,,,2,10,10,10,50,0,170552.09435851267,0,"LR (10, False)"
0,,,3,10,10,10,50,0,3994.831998104757,0,"LR (10, False)"
0,,,4,10,10,10,50,0,2563.7208223859143,0,"LR (10, False)"
0,,,5,10,10,10,50,0,435.8418769480767,0,"LR (10, False)"
0,,,6,10,10,10,50,0,5015.857050711156,0,"LR (10, False)"
0,,,7,10,10,10,50,0,862954699406.9711,0,"LR (10, False)"
0,,,8,10,10,10,50,0,7372433757.068461,0,"LR (10, False)"
0,,,9,10,10,10,50,0,7.507744234787681e+111,0,"LR (10, False)"
