,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0.0,0,10,10,10,50,0,46194160.046392456,0,"LR (10, True)"
1,1.0,1.0,0,50,10,10,50,0,4372.556757797701,0,"LR (10, True)"
2,2.0,2.0,0,100,10,10,50,0,30.920711547879925,0,"LR (10, True)"
3,3.0,0.0,1,10,10,10,50,0,167.32043082656284,0,"LR (10, True)"
4,4.0,1.0,1,50,10,10,50,0,892999083.15445,0,"LR (10, True)"
5,5.0,2.0,1,100,10,10,50,0,5.552515306306218e+194,0,"LR (10, True)"
6,6.0,0.0,2,10,10,10,50,0,2.5771017996147955e+23,0,"LR (10, True)"
7,7.0,1.0,2,50,10,10,50,0,2916.107135314173,0,"LR (10, True)"
8,8.0,2.0,2,100,10,10,50,0,6.551823403718836e+168,0,"LR (10, True)"
9,9.0,0.0,3,10,10,10,50,0,30.691096005168003,0,"LR (10, True)"
10,10.0,1.0,3,50,10,10,50,0,4719420830128765.0,0,"LR (10, True)"
11,11.0,2.0,3,100,10,10,50,0,665472125.892268,0,"LR (10, True)"
12,12.0,0.0,4,10,10,10,50,0,24600642800604.96,0,"LR (10, True)"
13,13.0,1.0,4,50,10,10,50,0,33031.36829912732,0,"LR (10, True)"
14,14.0,2.0,4,100,10,10,50,0,7.825997897271416,0,"LR (10, True)"
15,15.0,0.0,5,10,10,10,50,0,633.3386224998072,0,"LR (10, True)"
16,16.0,1.0,5,50,10,10,50,0,1775729.9887160088,0,"LR (10, True)"
17,17.0,2.0,5,100,10,10,50,0,172.5330854880286,0,"LR (10, True)"
18,18.0,0.0,6,10,10,10,50,0,174.97961243513436,0,"LR (10, True)"
19,19.0,1.0,6,50,10,10,50,0,1002.5424296141416,0,"LR (10, True)"
20,20.0,2.0,6,100,10,10,50,0,127930475.786236,0,"LR (10, True)"
21,21.0,0.0,7,10,10,10,50,0,2831078.3775208923,0,"LR (10, True)"
22,22.0,1.0,7,50,10,10,50,0,1.673488500177721e+21,0,"LR (10, True)"
23,23.0,2.0,7,100,10,10,50,0,1.4340055368627983e+28,0,"LR (10, True)"
24,24.0,0.0,8,10,10,10,50,0,2.2651383478530246e+34,0,"LR (10, True)"
25,25.0,1.0,8,50,10,10,50,0,2.6827376603994498e+28,0,"LR (10, True)"
26,26.0,2.0,8,100,10,10,50,0,43791.68257694437,0,"LR (10, True)"
27,27.0,0.0,9,10,10,10,50,0,143559936455690.06,0,"LR (10, True)"
28,28.0,1.0,9,50,10,10,50,0,2.823095645695207,0,"LR (10, True)"
29,29.0,2.0,9,100,10,10,50,0,311.5332991782869,0,"LR (10, True)"
30,0.0,,0,10,10,10,50,0,1003.5564333785054,0,"LR (10, True)"
31,0.0,,1,10,10,10,50,0,31798.74234525064,0,"LR (10, True)"
32,0.0,,2,10,10,10,50,0,311408370.2035244,0,"LR (10, True)"
33,0.0,,3,10,10,10,50,0,688569971460.1398,0,"LR (10, True)"
34,0.0,,4,10,10,10,50,0,2110020643.7542837,0,"LR (10, True)"
35,0.0,,5,10,10,10,50,0,3771332300.688564,0,"LR (10, True)"
36,0.0,,6,10,10,10,50,0,1.5545257813255212e+24,0,"LR (10, True)"
37,0.0,,7,10,10,10,50,0,2.2277116582885983e+59,0,"LR (10, True)"
38,0.0,,8,10,10,10,50,0,4.115525985544551e+19,0,"LR (10, True)"
39,0.0,,9,10,10,10,50,0,inf,0,"LR (10, True)"
0,,,0,10,10,10,50,0,8.10742855156038e+22,0,"LR (10, True)"
0,,,1,10,10,10,50,0,4.473944921514408e+36,0,"LR (10, True)"
0,,,2,10,10,10,50,0,33499857019.71184,0,"LR (10, True)"
0,,,3,10,10,10,50,0,989487973329.0742,0,"LR (10, True)"
0,,,4,10,10,10,50,0,439795214858065.6,0,"LR (10, True)"
0,,,5,10,10,10,50,0,119906.93402515126,0,"LR (10, True)"
0,,,6,10,10,10,50,0,6.510438464161548e+33,0,"LR (10, True)"
0,,,7,10,10,10,50,0,2.8530280256055308e+47,0,"LR (10, True)"
0,,,8,10,10,10,50,0,2.929756549008521e+180,0,"LR (10, True)"
0,,,9,10,10,10,50,0,1506185648.044719,0,"LR (10, True)"
