,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,5,40,40,50,0,12921397.850176312,0,"LR (40, True)"
1,0,10,40,40,50,0,4471011.044474942,0,"LR (40, True)"
2,0,20,40,40,50,0,5102373713.558312,0,"LR (40, True)"
3,0,30,40,40,50,0,1304581830799.1792,0,"LR (40, True)"
4,0,40,40,40,50,0,1.573595836504581e+36,0,"LR (40, True)"
5,0,50,40,40,50,0,3.8424227050165846e+40,0,"LR (40, True)"
6,0,60,40,40,50,0,2.344966862715238e+45,0,"LR (40, True)"
7,0,70,40,40,50,0,4.299624974469628e+151,0,"LR (40, True)"
8,0,80,40,40,50,0,1.7582489636673605e+65,0,"LR (40, True)"
9,0,90,40,40,50,0,7664316539.64139,0,"LR (40, True)"
10,0,100,40,40,50,0,1.939959985094707e+39,0,"LR (40, True)"
0,1,5,40,40,50,0,2.8352102507797633e+20,0,"LR (40, True)"
1,1,10,40,40,50,0,3.94952163202095e+20,0,"LR (40, True)"
2,1,20,40,40,50,0,137992459129.15646,0,"LR (40, True)"
3,1,30,40,40,50,0,3550559.1414019987,0,"LR (40, True)"
4,1,40,40,40,50,0,4.3960908257014057e+49,0,"LR (40, True)"
5,1,50,40,40,50,0,7.859728051417228e+22,0,"LR (40, True)"
6,1,60,40,40,50,0,76739682855.59543,0,"LR (40, True)"
7,1,70,40,40,50,0,2.1001094825413964e+240,0,"LR (40, True)"
8,1,80,40,40,50,0,2.0953108755075593e+22,0,"LR (40, True)"
9,1,90,40,40,50,0,3.641719190844904e+26,0,"LR (40, True)"
10,1,100,40,40,50,0,1.101428580524277e+50,0,"LR (40, True)"
0,2,5,40,40,50,0,52309558.10580683,0,"LR (40, True)"
1,2,10,40,40,50,0,2469532586259.4243,0,"LR (40, True)"
2,2,20,40,40,50,0,1.231381129460869e+18,0,"LR (40, True)"
3,2,30,40,40,50,0,4.732212234277493e+24,0,"LR (40, True)"
4,2,40,40,40,50,0,7.958095985279275e+53,0,"LR (40, True)"
5,2,50,40,40,50,0,3.785643686971521e+28,0,"LR (40, True)"
6,2,60,40,40,50,0,887078034.4382851,0,"LR (40, True)"
7,2,70,40,40,50,0,12582.777185633971,0,"LR (40, True)"
8,2,80,40,40,50,0,8.33629700618885e+27,0,"LR (40, True)"
