,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0,3,5,5,50,0,41.79773176756506,0,LR (TLN)
1,1.0,0,10,5,5,50,0,5680384.958179614,0,LR (TLN)
2,2.0,0,50,5,5,50,0,1022763879526895.2,0,LR (TLN)
3,3.0,0,100,5,5,50,0,2.577538756635331,0,LR (TLN)
4,0.0,1,3,5,5,50,0,5.521561259200712,0,LR (TLN)
5,1.0,1,10,5,5,50,0,5691.570187815819,0,LR (TLN)
6,2.0,1,50,5,5,50,0,61564931540.25171,0,LR (TLN)
7,3.0,1,100,5,5,50,0,563.2434486800986,0,LR (TLN)
8,0.0,2,3,5,5,50,0,7.598487236770005,0,LR (TLN)
9,1.0,2,10,5,5,50,0,193.7044369238644,0,LR (TLN)
10,2.0,2,50,5,5,50,0,4395.415917048218,0,LR (TLN)
11,3.0,2,100,5,5,50,0,535121168453094.7,0,LR (TLN)
12,0.0,3,3,5,5,50,0,9.598714440970053,0,LR (TLN)
13,1.0,3,10,5,5,50,0,10.938433878653612,0,LR (TLN)
14,2.0,3,50,5,5,50,0,0.1574936203110362,0,LR (TLN)
15,3.0,3,100,5,5,50,0,55743.65522919432,0,LR (TLN)
16,0.0,4,3,5,5,50,0,0.3720113717315034,0,LR (TLN)
17,1.0,4,10,5,5,50,0,2.1472797226647124e+23,0,LR (TLN)
18,2.0,4,50,5,5,50,0,3.333221428059928e+18,0,LR (TLN)
19,3.0,4,100,5,5,50,0,349091428.3668291,0,LR (TLN)
20,0.0,5,3,5,5,50,0,0.8527523944520606,0,LR (TLN)
21,1.0,5,10,5,5,50,0,0.985358399415109,0,LR (TLN)
22,2.0,5,50,5,5,50,0,662716.9711982401,0,LR (TLN)
23,3.0,5,100,5,5,50,0,0.4989822095570916,0,LR (TLN)
24,0.0,6,3,5,5,50,0,112.96902553567492,0,LR (TLN)
25,1.0,6,10,5,5,50,0,5.644566058738761,0,LR (TLN)
26,2.0,6,50,5,5,50,0,17.112346270147565,0,LR (TLN)
