,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0.0,0.0,0.0,0,10,500,500,50,0,7.976054858032425e+71,0,"LR (500, True)"
1,1.0,1.0,1.0,1.0,0,50,500,500,50,0,1.0672313683322833e+30,0,"LR (500, True)"
2,2.0,2.0,2.0,2.0,0,100,500,500,50,0,2.155208517082157e+117,0,"LR (500, True)"
3,3.0,3.0,3.0,0.0,1,10,500,500,50,0,2.617270309882846e+79,0,"LR (500, True)"
4,4.0,4.0,4.0,1.0,1,50,500,500,50,0,inf,0,"LR (500, True)"
5,5.0,5.0,5.0,2.0,1,100,500,500,50,0,4.5659878931397805e+75,0,"LR (500, True)"
6,6.0,6.0,6.0,0.0,2,10,500,500,50,0,7.427415046607173e+77,0,"LR (500, True)"
7,7.0,7.0,7.0,1.0,2,50,500,500,50,0,4.433624367604193e+151,0,"LR (500, True)"
8,8.0,8.0,8.0,2.0,2,100,500,500,50,0,1.5523157612124356e+232,0,"LR (500, True)"
9,9.0,9.0,9.0,0.0,3,10,500,500,50,0,4.9956444597143555e+174,0,"LR (500, True)"
10,10.0,10.0,10.0,1.0,3,50,500,500,50,0,3.6266099638081613e+45,0,"LR (500, True)"
11,11.0,11.0,11.0,2.0,3,100,500,500,50,0,1.3299179601120778e+114,0,"LR (500, True)"
12,12.0,12.0,12.0,0.0,4,10,500,500,50,0,7.183573783993552e+213,0,"LR (500, True)"
13,13.0,13.0,13.0,1.0,4,50,500,500,50,0,1.1683262346947088e+283,0,"LR (500, True)"
14,14.0,14.0,14.0,2.0,4,100,500,500,50,0,1.5323081670983437e+70,0,"LR (500, True)"
15,15.0,15.0,15.0,0.0,5,10,500,500,50,0,1.1660835267103288e+74,0,"LR (500, True)"
16,16.0,16.0,16.0,1.0,5,50,500,500,50,0,2.5831676771701395e+53,0,"LR (500, True)"
17,17.0,17.0,17.0,2.0,5,100,500,500,50,0,5.497720069994337e+149,0,"LR (500, True)"
18,18.0,18.0,18.0,0.0,6,10,500,500,50,0,1.9021930401126228e+33,0,"LR (500, True)"
19,19.0,19.0,19.0,1.0,6,50,500,500,50,0,3.798491191993229e+203,0,"LR (500, True)"
20,20.0,20.0,20.0,2.0,6,100,500,500,50,0,8.856615702226975e+108,0,"LR (500, True)"
21,21.0,21.0,21.0,0.0,7,10,500,500,50,0,3.2752061665695963e+59,0,"LR (500, True)"
22,22.0,22.0,22.0,1.0,7,50,500,500,50,0,inf,0,"LR (500, True)"
23,23.0,23.0,23.0,2.0,7,100,500,500,50,0,2.845401181792556e+236,0,"LR (500, True)"
24,24.0,24.0,24.0,0.0,8,10,500,500,50,0,6.237491147276306e+82,0,"LR (500, True)"
25,25.0,25.0,25.0,1.0,8,50,500,500,50,0,4.032974434667749e+114,0,"LR (500, True)"
