,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,30,1,64,5,0.628125,0,CNN
1,30,2,64,5,0.6134375000000001,0,CNN
2,30,3,64,5,0.6046875,0,CNN
3,30,4,64,5,0.6056250000000001,0,CNN
4,30,5,64,5,0.603125,0,CNN
5,30,6,64,5,0.6246875000000001,0,CNN
6,30,7,64,5,0.60375,0,CNN
7,30,8,64,5,0.6,0,CNN
8,30,9,64,5,0.6190625,0,CNN
9,30,10,64,5,0.6028125,0,CNN
10,30,11,64,5,0.6040625000000001,0,CNN
0,30,1,64,5,0.6415625,0,CNN
1,30,2,64,5,0.6390625,0,CNN
2,30,3,64,5,0.61,0,CNN
3,30,4,64,5,0.6625,0,CNN
4,30,5,64,5,0.626875,0,CNN
5,30,6,64,5,0.605,0,CNN
6,30,7,64,5,0.6025,0,CNN
7,30,8,64,5,0.650625,0,CNN
8,30,9,64,5,0.615625,0,CNN
9,30,10,64,5,0.5996875,0,CNN
10,30,11,64,5,0.6034375,0,CNN
0,30,1,64,5,0.6693749999999999,0,CNN
1,30,2,64,5,0.60375,0,CNN
2,30,3,64,5,0.6059375,0,CNN
3,30,4,64,5,0.6040625000000001,0,CNN
4,30,5,64,5,0.63,0,CNN
5,30,6,64,5,0.65,0,CNN
6,30,7,64,5,0.595,0,CNN
7,30,8,64,5,0.6203125,0,CNN
8,30,9,64,5,0.6168750000000001,0,CNN
9,30,10,64,5,0.6096874999999999,0,CNN
10,30,11,64,5,0.5928125,0,CNN
0,30,1,64,5,0.6078125,0,CNN
1,30,2,64,5,0.604375,0,CNN
2,30,3,64,5,0.6625,0,CNN
3,30,4,64,5,0.596875,0,CNN
4,30,5,64,5,0.6321875,0,CNN
5,30,6,64,5,0.5959375,0,CNN
6,30,7,64,5,0.6284375,0,CNN
7,30,8,64,5,0.5996875,0,CNN
8,30,9,64,5,0.615,0,CNN
9,30,10,64,5,0.595625,0,CNN
10,30,11,64,5,0.6140625,0,CNN
0,30,1,64,5,0.6234375,0,CNN
1,30,2,64,5,0.6212500000000001,0,CNN
2,30,3,64,5,0.61375,0,CNN
3,30,4,64,5,0.63875,0,CNN
4,30,5,64,5,0.6128125,0,CNN
5,30,6,64,5,0.6009375,0,CNN
6,30,7,64,5,0.60625,0,CNN
7,30,8,64,5,0.5865625,0,CNN
8,30,9,64,5,0.6290625000000001,0,CNN
9,30,10,64,5,0.6090625000000001,0,CNN
10,30,11,64,5,0.5965625,0,CNN
0,30,1,64,5,0.6009375,0,CNN
1,30,2,64,5,0.600625,0,CNN
2,30,3,64,5,0.599375,0,CNN
3,30,4,64,5,0.6003125,0,CNN
4,30,5,64,5,0.6056250000000001,0,CNN
5,30,6,64,5,0.61375,0,CNN
6,30,7,64,5,0.6168750000000001,0,CNN
7,30,8,64,5,0.6168750000000001,0,CNN
8,30,9,64,5,0.6071875,0,CNN
9,30,10,64,5,0.6140625,0,CNN
10,30,11,64,5,0.6078125,0,CNN
0,30,1,64,5,0.6015625,0,CNN
1,30,2,64,5,0.6075,0,CNN
2,30,3,64,5,0.6003125,0,CNN
3,30,4,64,5,0.588125,0,CNN
4,30,5,64,5,0.6331249999999999,0,CNN
5,30,6,64,5,0.5871875,0,CNN
6,30,7,64,5,0.5946875,0,CNN
7,30,8,64,5,0.645,0,CNN
8,30,9,64,5,0.6215625,0,CNN
9,30,10,64,5,0.6071875,0,CNN
10,30,11,64,5,0.5990624999999999,0,CNN
0,30,1,64,5,0.5974999999999999,0,CNN
1,30,2,64,5,0.6443749999999999,0,CNN
2,30,3,64,5,0.5865625,0,CNN
3,30,4,64,5,0.61,0,CNN
4,30,5,64,5,0.5790625,0,CNN
5,30,6,64,5,0.6431250000000001,0,CNN
6,30,7,64,5,0.5959375,0,CNN
7,30,8,64,5,0.6153125,0,CNN
8,30,9,64,5,0.6109375,0,CNN
9,30,10,64,5,0.6131249999999999,0,CNN
10,30,11,64,5,0.6084375,0,CNN
0,30,1,64,5,0.6453125,0,CNN
1,30,2,64,5,0.5871875,0,CNN
2,30,3,64,5,0.615625,0,CNN
3,30,4,64,5,0.6134375000000001,0,CNN
4,30,5,64,5,0.6059375,0,CNN
5,30,6,64,5,0.6090625000000001,0,CNN
6,30,7,64,5,0.6265625,0,CNN
7,30,8,64,5,0.6075,0,CNN
8,30,9,64,5,0.6103125,0,CNN
9,30,10,64,5,0.6021875,0,CNN
10,30,11,64,5,0.603125,0,CNN
0,30,1,64,5,0.67,0,CNN
1,30,2,64,5,0.6003125,0,CNN
2,30,3,64,5,0.6053124999999999,0,CNN
3,30,4,64,5,0.629375,0,CNN
4,30,5,64,5,0.60875,0,CNN
5,30,6,64,5,0.6203125,0,CNN
6,30,7,64,5,0.62375,0,CNN
7,30,8,64,5,0.6234375,0,CNN
8,30,9,64,5,0.6021875,0,CNN
9,30,10,64,5,0.5909375,0,CNN
10,30,11,64,5,0.598125,0,CNN
