,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,0.9878125000000001,0,LPR
4,30,5,64,5,0.994375,0,LPR
5,30,6,64,5,0.8215625,0,LPR
6,30,7,64,5,0.8371875,0,LPR
7,30,8,64,5,0.5465625000000001,0,LPR
8,30,9,64,5,0.79625,0,LPR
9,30,10,64,5,0.6978125000000001,0,LPR
10,30,11,64,5,0.7528125,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,0.9940625000000001,0,LPR
4,30,5,64,5,1.0,0,LPR
5,30,6,64,5,0.9303125,0,LPR
6,30,7,64,5,0.9956250000000001,0,LPR
7,30,8,64,5,0.6946875,0,LPR
8,30,9,64,5,0.7787499999999999,0,LPR
9,30,10,64,5,0.8578125,0,LPR
10,30,11,64,5,0.4653125,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,0.9800000000000001,0,LPR
4,30,5,64,5,0.83125,0,LPR
5,30,6,64,5,0.8675,0,LPR
6,30,7,64,5,0.5565625,0,LPR
7,30,8,64,5,0.4646875,0,LPR
8,30,9,64,5,0.445,0,LPR
9,30,10,64,5,0.44406249999999997,0,LPR
10,30,11,64,5,0.770625,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,0.9984375,0,LPR
3,30,4,64,5,0.994375,0,LPR
4,30,5,64,5,0.89375,0,LPR
5,30,6,64,5,0.9334374999999999,0,LPR
6,30,7,64,5,0.5706249999999999,0,LPR
7,30,8,64,5,0.79125,0,LPR
8,30,9,64,5,0.6875,0,LPR
9,30,10,64,5,0.7165625,0,LPR
10,30,11,64,5,0.3640625,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,1.0,0,LPR
4,30,5,64,5,0.9709375,0,LPR
5,30,6,64,5,0.634375,0,LPR
6,30,7,64,5,0.5871875,0,LPR
7,30,8,64,5,0.5815625,0,LPR
8,30,9,64,5,0.625625,0,LPR
9,30,10,64,5,0.319375,0,LPR
10,30,11,64,5,0.4840625,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,0.999375,0,LPR
4,30,5,64,5,0.8828125,0,LPR
5,30,6,64,5,0.7634375,0,LPR
6,30,7,64,5,0.72875,0,LPR
7,30,8,64,5,0.9265625,0,LPR
8,30,9,64,5,0.8018750000000001,0,LPR
9,30,10,64,5,0.39875,0,LPR
10,30,11,64,5,0.64,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,0.9971875000000001,0,LPR
4,30,5,64,5,0.999375,0,LPR
5,30,6,64,5,0.65,0,LPR
6,30,7,64,5,0.8671875,0,LPR
7,30,8,64,5,0.5075000000000001,0,LPR
8,30,9,64,5,0.7309375,0,LPR
9,30,10,64,5,0.82,0,LPR
10,30,11,64,5,0.6503125,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,1.0,0,LPR
4,30,5,64,5,0.8425,0,LPR
5,30,6,64,5,0.7246875,0,LPR
6,30,7,64,5,0.7784375,0,LPR
7,30,8,64,5,0.53,0,LPR
8,30,9,64,5,0.69375,0,LPR
9,30,10,64,5,0.9065625,0,LPR
10,30,11,64,5,0.2709375,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,1.0,0,LPR
4,30,5,64,5,0.9146875,0,LPR
5,30,6,64,5,0.943125,0,LPR
6,30,7,64,5,0.51,0,LPR
7,30,8,64,5,0.7359375,0,LPR
8,30,9,64,5,0.5971875,0,LPR
9,30,10,64,5,0.7959375,0,LPR
10,30,11,64,5,0.38,0,LPR
0,30,1,64,5,1.0,0,LPR
1,30,2,64,5,1.0,0,LPR
2,30,3,64,5,1.0,0,LPR
3,30,4,64,5,0.999375,0,LPR
4,30,5,64,5,0.925,0,LPR
5,30,6,64,5,0.9981249999999999,0,LPR
6,30,7,64,5,0.5315624999999999,0,LPR
7,30,8,64,5,0.5703125,0,LPR
8,30,9,64,5,0.818125,0,LPR
9,30,10,64,5,0.495,0,LPR
10,30,11,64,5,0.8553124999999999,0,LPR
