,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,100,2,2,25,1.9874319066927694e-07,0,LR
1,110,2,2,25,6.962640760641107e-08,0,LR
2,120,2,2,25,2.111342279054287e-07,0,LR
3,130,2,2,25,1.72932953585958e-07,0,LR
4,140,2,2,25,2.0395329087566355e-07,0,LR
5,150,2,2,25,2.4743805066541073e-07,0,LR
6,160,2,2,25,2.2037201458194462e-07,0,LR
7,170,2,2,25,1.5873778033413104e-07,0,LR
8,180,2,2,25,2.1732698434345732e-07,0,LR
9,190,2,2,25,1.7404886813388173e-07,0,LR
10,200,2,2,25,1.5257756555769723e-07,0,LR
11,210,2,2,25,1.501730447147802e-07,0,LR
12,220,2,2,25,1.806544390336252e-07,0,LR
13,230,2,2,25,1.6765207755113783e-07,0,LR
14,240,2,2,25,1.6182204421242663e-07,0,LR
15,250,2,2,25,1.6560135278008424e-07,0,LR
16,260,2,2,25,2.0035214296546311e-07,0,LR
17,270,2,2,25,1.7808180201437112e-07,0,LR
18,280,2,2,25,1.805562480959087e-07,0,LR
19,290,2,2,25,2.1862291035865157e-07,0,LR
20,300,2,2,25,1.7558422614125872e-07,0,LR
21,310,2,2,25,1.8724410144289609e-07,0,LR
22,320,2,2,25,2.0409312409836183e-07,0,LR
23,330,2,2,25,1.340970527989472e-07,0,LR
24,340,2,2,25,2.4410594395553605e-07,0,LR
25,350,2,2,25,1.7183446942033984e-07,0,LR
26,360,2,2,25,1.7017503330860538e-07,0,LR
27,370,2,2,25,1.249446438594441e-07,0,LR
28,380,2,2,25,2.078264530286474e-07,0,LR
29,390,2,2,25,2.0207604876158398e-07,0,LR
30,400,2,2,25,2.4215935271502495e-07,0,LR
31,410,2,2,25,2.0085522872416684e-07,0,LR
32,420,2,2,25,1.6392043846929572e-07,0,LR
33,430,2,2,25,1.6627547936922274e-07,0,LR
34,440,2,2,25,1.6796132145382477e-07,0,LR
35,450,2,2,25,1.2787811834341758e-07,0,LR
36,460,2,2,25,2.7004361585623907e-07,0,LR
37,470,2,2,25,1.9343084912332624e-07,0,LR
38,480,2,2,25,1.4759327505267378e-07,0,LR
39,490,2,2,25,1.33426766488371e-07,0,LR
40,500,2,2,25,1.2781828640934396e-07,0,LR
41,510,2,2,25,1.525228157507374e-07,0,LR
42,520,2,2,25,2.038520094579224e-07,0,LR
43,530,2,2,25,1.5444891488833307e-07,0,LR
44,540,2,2,25,1.7831998403349117e-07,0,LR
45,550,2,2,25,2.0990350565183953e-07,0,LR
46,560,2,2,25,1.6416278701464272e-07,0,LR
47,570,2,2,25,2.019829619239293e-07,0,LR
48,580,2,2,25,2.0730780028720826e-07,0,LR
49,590,2,2,25,2.6140656185265473e-07,0,LR
50,600,2,2,25,2.772885056744573e-07,0,LR
51,610,2,2,25,2.2379765798778786e-07,0,LR
52,620,2,2,25,1.479621623093926e-07,0,LR
53,630,2,2,25,2.1709148094947736e-07,0,LR
54,640,2,2,25,2.110033957083628e-07,0,LR
55,650,2,2,25,3.2669857623535404e-07,0,LR
56,660,2,2,25,1.8041264094638793e-07,0,LR
57,670,2,2,25,1.630070179583492e-07,0,LR
58,680,2,2,25,1.5565217424402926e-07,0,LR
59,690,2,2,25,2.0757339361509947e-07,0,LR
60,700,2,2,25,1.5042228898005413e-07,0,LR
