,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,100,2,2,50,4.802499192163176e-07,0,LR
1,110,2,2,50,5.84297004787603e-07,0,LR
2,120,2,2,50,5.168164978528612e-07,0,LR
3,130,2,2,50,5.499473632109315e-07,0,LR
4,140,2,2,50,4.860381116027511e-07,0,LR
5,150,2,2,50,5.729865055976169e-07,0,LR
6,160,2,2,50,5.242773292640584e-07,0,LR
7,170,2,2,50,5.074124069073972e-07,0,LR
8,180,2,2,50,5.959822580010122e-07,0,LR
9,190,2,2,50,5.8260750672491e-07,0,LR
10,200,2,2,50,5.072329059638988e-07,0,LR
11,210,2,2,50,5.706304685296058e-07,0,LR
12,220,2,2,50,5.643981730326666e-07,0,LR
13,230,2,2,50,4.834678100041835e-07,0,LR
14,240,2,2,50,6.071988945298971e-07,0,LR
15,250,2,2,50,5.249889832780863e-07,0,LR
16,260,2,2,50,5.096789678807777e-07,0,LR
17,270,2,2,50,5.070142259338425e-07,0,LR
18,280,2,2,50,5.322760545418781e-07,0,LR
19,290,2,2,50,5.867970477384775e-07,0,LR
20,300,2,2,50,4.6580736012519673e-07,0,LR
21,310,2,2,50,5.605786946302604e-07,0,LR
22,320,2,2,50,5.31347698897405e-07,0,LR
23,330,2,2,50,5.592075608361028e-07,0,LR
24,340,2,2,50,4.994053368961984e-07,0,LR
25,350,2,2,50,4.7555907790778627e-07,0,LR
26,360,2,2,50,5.05952164117935e-07,0,LR
27,370,2,2,50,5.565207871643574e-07,0,LR
28,380,2,2,50,4.771253160468045e-07,0,LR
29,390,2,2,50,6.020569241264694e-07,0,LR
30,400,2,2,50,4.496238649167331e-07,0,LR
31,410,2,2,50,4.779604474766081e-07,0,LR
32,420,2,2,50,5.338901722957003e-07,0,LR
33,430,2,2,50,5.436440140505602e-07,0,LR
34,440,2,2,50,5.664971941098617e-07,0,LR
35,450,2,2,50,5.404691328600795e-07,0,LR
36,460,2,2,50,5.129985988005706e-07,0,LR
37,470,2,2,50,4.973429871307543e-07,0,LR
38,480,2,2,50,5.154574034120929e-07,0,LR
39,490,2,2,50,4.6673632555037577e-07,0,LR
40,500,2,2,50,5.182513535781981e-07,0,LR
41,510,2,2,50,5.220902490761517e-07,0,LR
42,520,2,2,50,5.150467979301912e-07,0,LR
43,530,2,2,50,5.604547834319323e-07,0,LR
44,540,2,2,50,5.61284825659344e-07,0,LR
45,550,2,2,50,5.767385864119327e-07,0,LR
46,560,2,2,50,4.7084339813855383e-07,0,LR
47,570,2,2,50,5.533588686661353e-07,0,LR
48,580,2,2,50,5.496018353978549e-07,0,LR
49,590,2,2,50,5.34823017503324e-07,0,LR
50,600,2,2,50,5.254343707637454e-07,0,LR
51,610,2,2,50,5.225341649222112e-07,0,LR
52,620,2,2,50,5.095985498842395e-07,0,LR
53,630,2,2,50,5.203063850012585e-07,0,LR
54,640,2,2,50,5.594463991129227e-07,0,LR
55,650,2,2,50,5.795655051912884e-07,0,LR
56,660,2,2,50,5.916636348795682e-07,0,LR
57,670,2,2,50,5.512517163597838e-07,0,LR
58,680,2,2,50,5.086376164778229e-07,0,LR
59,690,2,2,50,5.284040157224284e-07,0,LR
60,700,2,2,50,4.902934468192324e-07,0,LR
61,710,2,2,50,5.377150177713913e-07,0,LR
62,720,2,2,50,4.959261647519064e-07,0,LR
63,730,2,2,50,5.670313055513648e-07,0,LR
64,740,2,2,50,5.565884649741343e-07,0,LR
65,750,2,2,50,5.084019335939107e-07,0,LR
66,760,2,2,50,5.396929331513326e-07,0,LR
67,770,2,2,50,4.988808054466528e-07,0,LR
68,780,2,2,50,5.075970304677229e-07,0,LR
69,790,2,2,50,5.614664925333725e-07,0,LR
70,800,2,2,50,5.382946630921918e-07,0,LR
71,810,2,2,50,5.011727710661051e-07,0,LR
72,820,2,2,50,4.820733720232407e-07,0,LR
73,830,2,2,50,5.17947037797093e-07,0,LR
74,840,2,2,50,5.55519418445915e-07,0,LR
75,850,2,2,50,5.261406476067955e-07,0,LR
76,860,2,2,50,5.276183249801348e-07,0,LR
77,870,2,2,50,5.210745339444662e-07,0,LR
78,880,2,2,50,5.552267681340627e-07,0,LR
79,890,2,2,50,5.108498005866672e-07,0,LR
80,900,2,2,50,6.13285038710965e-07,0,LR
81,910,2,2,50,5.192957078195567e-07,0,LR
82,920,2,2,50,5.014558193148915e-07,0,LR
83,930,2,2,50,5.217278020615104e-07,0,LR
84,940,2,2,50,5.380783307423878e-07,0,LR
85,950,2,2,50,5.421941106885003e-07,0,LR
86,960,2,2,50,5.630157100037519e-07,0,LR
87,970,2,2,50,5.365935402549018e-07,0,LR
88,980,2,2,50,5.65408118488888e-07,0,LR
89,990,2,2,50,5.395008715742511e-07,0,LR
90,1000,2,2,50,5.414864602312663e-07,0,LR
