,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,2,4,50,0.006117938654677007,0,LR
1,0,10,2,4,50,0.010068986424273101,0,LR
2,0,100,2,4,50,0.006045302108994104,0,LR
0,1,1,2,4,50,0.005959857928224773,0,LR
1,1,10,2,4,50,0.006882688791103106,0,LR
2,1,100,2,4,50,0.007367933586495266,0,LR
0,2,1,2,4,50,0.018418300124587682,0,LR
1,2,10,2,4,50,0.012854763929096855,0,LR
2,2,100,2,4,50,0.014044799368744086,0,LR
0,3,1,2,4,50,0.01073203168186444,0,LR
1,3,10,2,4,50,0.007690617295755033,0,LR
2,3,100,2,4,50,0.010494731514256894,0,LR
0,4,1,2,4,50,0.006780193546653237,0,LR
1,4,10,2,4,50,0.004749290907420552,0,LR
2,4,100,2,4,50,0.00820774678972083,0,LR
