,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,2,2,2,50,2.3735432722443996e-06,0,LR
0,1,2,2,2,50,8.694184423267857e-07,0,LR
0,2,2,2,2,50,4.915413521145885e-06,0,LR
0,3,2,2,2,50,2.893684791966005e-07,0,LR
0,4,2,2,2,50,6.860289376219988e-07,0,LR
0,5,2,2,2,50,2.8065833141828845e-05,0,LR
0,6,2,2,2,50,0.0009451560928138134,0,LR
0,7,2,2,2,50,2.9909684673558948e-06,0,LR
0,8,2,2,2,50,2.0685676187710245e-06,0,LR
0,9,2,2,2,50,3.1292260605541966e-05,0,LR
0,10,2,2,2,50,3.5768322887594023e-06,0,LR
0,11,2,2,2,50,9.205065641776402e-06,0,LR
0,12,2,2,2,50,0.00011340272454523133,0,LR
0,13,2,2,2,50,3.6934756480247824e-05,0,LR
0,14,2,2,2,50,2.463052329151108e-06,0,LR
0,15,2,2,2,50,9.39222271025804e-06,0,LR
0,16,2,2,2,50,2.157572767114782e-06,0,LR
0,17,2,2,2,50,3.8958015667528374e-07,0,LR
0,18,2,2,2,50,3.876716581392792e-07,0,LR
0,19,2,2,2,50,1.9199964672943877e-07,0,LR
0,20,2,2,2,50,5.823732552664899e-06,0,LR
0,21,2,2,2,50,7.054032042433526e-07,0,LR
0,22,2,2,2,50,3.997976605885172e-07,0,LR
0,23,2,2,2,50,5.164615777014332e-07,0,LR
0,24,2,2,2,50,4.367168575459402e-06,0,LR
0,25,2,2,2,50,1.4158409579813435e-05,0,LR
0,26,2,2,2,50,2.4245049145228726e-07,0,LR
0,27,2,2,2,50,8.138018183423954e-07,0,LR
0,28,2,2,2,50,3.539577245981904e-07,0,LR
0,29,2,2,2,50,2.848106839186438e-06,0,LR
0,30,2,2,2,50,2.771389837888446e-07,0,LR
0,31,2,2,2,50,4.329022797916377e-07,0,LR
0,32,2,2,2,50,1.0292011144869809e-06,0,LR
0,33,2,2,2,50,2.7250221342842955e-07,0,LR
0,34,2,2,2,50,1.1833228826498515e-07,0,LR
0,35,2,2,2,50,4.716133573339387e-06,0,LR
0,36,2,2,2,50,2.6742300218816364e-07,0,LR
0,37,2,2,2,50,9.611994034591262e-07,0,LR
0,38,2,2,2,50,3.0690872770316554e-07,0,LR
0,39,2,2,2,50,3.248061944922329e-05,0,LR
0,40,2,2,2,50,3.803098235956839e-07,0,LR
0,41,2,2,2,50,4.0122889193095046e-07,0,LR
0,42,2,2,2,50,4.97769586606332e-07,0,LR
0,43,2,2,2,50,1.0494986991868922e-07,0,LR
0,44,2,2,2,50,2.0757273726492103e-05,0,LR
0,45,2,2,2,50,1.6275236213089988e-07,0,LR
0,46,2,2,2,50,2.5277694386361358e-06,0,LR
0,47,2,2,2,50,2.4587916421805313e-07,0,LR
0,48,2,2,2,50,4.311750660785812e-06,0,LR
0,49,2,2,2,50,4.619548263878979e-07,0,LR
