,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,500,5,5,50,0.00019913031939166104,0,LR
1,500,10,10,50,2.0748792928923808e-07,0,LR
2,500,50,50,50,1.5132437892952918e-05,0,LR
3,500,100,100,50,0.06302648704223479,0,LR
4,500,500,500,50,4.750734225746943e-05,0,LR
5,500,1000,1000,50,3.102977854711815,0,LR
0,500,5,5,50,1.5776396450633105e-06,0,LR
1,500,10,10,50,0.009646765869546518,0,LR
2,500,50,50,50,9.564642371418425e-05,0,LR
3,500,100,100,50,0.003138911510248928,0,LR
4,500,500,500,50,0.0032201136137721543,0,LR
5,500,1000,1000,50,0.0037257445602311427,0,LR
0,500,5,5,50,2.174158106542e-07,0,LR
1,500,10,10,50,2.695867739303723e-07,0,LR
2,500,50,50,50,2.5898274634860702e-06,0,LR
3,500,100,100,50,0.0005482310124923598,0,LR
4,500,500,500,50,0.0012442607908984007,0,LR
5,500,1000,1000,50,0.013409510938944462,0,LR
0,500,5,5,50,0.00010598513665991083,0,LR
1,500,10,10,50,6.166527531306847e-07,0,LR
2,500,50,50,50,0.0012427893398776104,0,LR
3,500,100,100,50,0.00010709849200363547,0,LR
4,500,500,500,50,0.004354185697879438,0,LR
5,500,1000,1000,50,0.2866005159299348,0,LR
0,500,5,5,50,2.0718999527470913e-05,0,LR
1,500,10,10,50,0.007217858192171093,0,LR
2,500,50,50,50,3.7968342638953e-05,0,LR
3,500,100,100,50,0.0008090733264380165,0,LR
4,500,500,500,50,4.5471538701618394e-05,0,LR
5,500,1000,1000,50,44.43053495461802,0,LR
0,500,5,5,50,8.510061400345694e-07,0,LR
1,500,10,10,50,2.3960529697758347e-05,0,LR
2,500,50,50,50,0.0030144677848390347,0,LR
3,500,100,100,50,6.395557152658403e-05,0,LR
4,500,500,500,50,2.104130867151968e-05,0,LR
5,500,1000,1000,50,0.004347929086744297,0,LR
0,500,5,5,50,1.0368282980404226e-07,0,LR
1,500,10,10,50,0.019766032441688258,0,LR
2,500,50,50,50,1.6900283276270022e-06,0,LR
3,500,100,100,50,4.284178510773626e-05,0,LR
4,500,500,500,50,0.03517220144117855,0,LR
5,500,1000,1000,50,2.1946852006128896,0,LR
0,500,5,5,50,2.3132214809391763e-06,0,LR
1,500,10,10,50,9.769783032874068e-06,0,LR
2,500,50,50,50,0.005707419729971669,0,LR
3,500,100,100,50,0.00028576021541009767,0,LR
4,500,500,500,50,4.471490339676293,0,LR
5,500,1000,1000,50,0.05358453122001563,0,LR
0,500,5,5,50,1.6118233021253433e-06,0,LR
1,500,10,10,50,2.2773500040398244e-06,0,LR
2,500,50,50,50,2.9903150517931288e-05,0,LR
3,500,100,100,50,2.8037213501094373e-05,0,LR
4,500,500,500,50,2.3900582913673563e-05,0,LR
5,500,1000,1000,50,0.0016954165510344738,0,LR
0,500,5,5,50,1.8216912902505756e-05,0,LR
1,500,10,10,50,1.2207077042421165e-06,0,LR
2,500,50,50,50,0.0013864478268894036,0,LR
3,500,100,100,50,0.00013476997672689516,0,LR
4,500,500,500,50,0.0010852855303043081,0,LR
5,500,1000,1000,50,0.10457210288504841,0,LR
0,500,5,5,50,4.319793091921749e-06,0,LR
1,500,10,10,50,6.476440065982378e-07,0,LR
2,500,50,50,50,0.0043202307520863025,0,LR
3,500,100,100,50,6.570677945891816e-06,0,LR
4,500,500,500,50,0.1884214046819867,0,LR
5,500,1000,1000,50,0.04852957506771667,0,LR
0,500,5,5,50,7.789507967369046e-07,0,LR
1,500,10,10,50,9.061763265479222e-07,0,LR
2,500,50,50,50,2.7549119483292052e-05,0,LR
3,500,100,100,50,4.0019859544123605e-05,0,LR
4,500,500,500,50,0.0005250690494666027,0,LR
5,500,1000,1000,50,0.004319500899769756,0,LR
0,500,5,5,50,3.2151422893279435e-06,0,LR
1,500,10,10,50,2.408652772611841e-07,0,LR
2,500,50,50,50,0.006269507153136045,0,LR
3,500,100,100,50,8.266002665122175e-05,0,LR
4,500,500,500,50,0.003518429651439769,0,LR
5,500,1000,1000,50,0.00940932779086401,0,LR
0,500,5,5,50,2.979920908557969e-07,0,LR
1,500,10,10,50,0.00030987466300823053,0,LR
2,500,50,50,50,1.4800197958887501e-05,0,LR
3,500,100,100,50,0.0013346006582234179,0,LR
4,500,500,500,50,61.4706183397633,0,LR
5,500,1000,1000,50,14.753980749089328,0,LR
0,500,5,5,50,1.7844691471641982e-06,0,LR
1,500,10,10,50,2.924045072949534e-07,0,LR
2,500,50,50,50,2.1338114784119463e-05,0,LR
3,500,100,100,50,9.911129363321405e-06,0,LR
4,500,500,500,50,0.030418368553770444,0,LR
5,500,1000,1000,50,0.0028298506237033417,0,LR
0,500,5,5,50,1.985053553168949e-07,0,LR
1,500,10,10,50,2.732302010088679e-07,0,LR
2,500,50,50,50,4.9430202409580666e-05,0,LR
3,500,100,100,50,7.682808908641666e-05,0,LR
4,500,500,500,50,0.00018332660447434055,0,LR
5,500,1000,1000,50,0.012043816506784977,0,LR
0,500,5,5,50,0.003583763970685702,0,LR
1,500,10,10,50,6.184834850031046e-07,0,LR
2,500,50,50,50,0.001274452313434055,0,LR
3,500,100,100,50,448.9756616972153,0,LR
4,500,500,500,50,0.007001003373141645,0,LR
5,500,1000,1000,50,0.08296558450616266,0,LR
0,500,5,5,50,7.663804689728907e-06,0,LR
1,500,10,10,50,2.3847831659607094e-05,0,LR
2,500,50,50,50,0.0007026418100459304,0,LR
3,500,100,100,50,1.186631622677119e-05,0,LR
4,500,500,500,50,0.00945244464321975,0,LR
5,500,1000,1000,50,0.0004798880867953167,0,LR
0,500,5,5,50,1.9097936138056386e-05,0,LR
1,500,10,10,50,4.010740555529872e-06,0,LR
2,500,50,50,50,4.804967951018569e-06,0,LR
3,500,100,100,50,3.449956178861694e-05,0,LR
4,500,500,500,50,0.0002879805493372772,0,LR
5,500,1000,1000,50,0.008503812328634435,0,LR
0,500,5,5,50,2.6001371645311227e-07,0,LR
1,500,10,10,50,4.3614273929252216e-07,0,LR
2,500,50,50,50,9.418436430709657e-06,0,LR
3,500,100,100,50,0.000265143693891232,0,LR
4,500,500,500,50,7.739059013168633e-05,0,LR
5,500,1000,1000,50,0.12839932646930421,0,LR
0,500,5,5,50,4.353780208058696e-06,0,LR
1,500,10,10,50,5.511275265402548e-07,0,LR
2,500,50,50,50,0.00147240607528524,0,LR
3,500,100,100,50,0.0003025100464362914,0,LR
4,500,500,500,50,0.028551947035637473,0,LR
5,500,1000,1000,50,0.00046055539736895434,0,LR
0,500,5,5,50,1.3194526636208353e-06,0,LR
1,500,10,10,50,3.248636266750279e-05,0,LR
2,500,50,50,50,0.00018008605381342023,0,LR
3,500,100,100,50,8.147872043178147e-06,0,LR
4,500,500,500,50,0.0006242341428279047,0,LR
5,500,1000,1000,50,0.08020970334922291,0,LR
0,500,5,5,50,0.0006725927545015474,0,LR
1,500,10,10,50,1.7469545032894719e-07,0,LR
2,500,50,50,50,0.010087789230343477,0,LR
3,500,100,100,50,0.0008922659349954075,0,LR
4,500,500,500,50,0.0002688643672854922,0,LR
5,500,1000,1000,50,0.0005331519138618056,0,LR
0,500,5,5,50,2.469720229670691e-07,0,LR
1,500,10,10,50,8.598678482555225e-06,0,LR
2,500,50,50,50,0.00035663081850019945,0,LR
3,500,100,100,50,0.14678060603153753,0,LR
4,500,500,500,50,0.0009352580120571395,0,LR
5,500,1000,1000,50,0.06011872760617512,0,LR
0,500,5,5,50,2.9121897933539793e-07,0,LR
1,500,10,10,50,1.240377807453299e-07,0,LR
2,500,50,50,50,6.724391359290425e-06,0,LR
3,500,100,100,50,4.06644259767977e-05,0,LR
4,500,500,500,50,0.003218533008422241,0,LR
5,500,1000,1000,50,0.017719871509736848,0,LR
0,500,5,5,50,3.143583292297559e-07,0,LR
1,500,10,10,50,2.257576552334713e-05,0,LR
2,500,50,50,50,0.00012335440122050511,0,LR
3,500,100,100,50,1.3683272483049358,0,LR
4,500,500,500,50,0.0022247754911280263,0,LR
5,500,1000,1000,50,0.21215578484491318,0,LR
0,500,5,5,50,8.899662055732408e-06,0,LR
1,500,10,10,50,2.2347440811239148e-07,0,LR
