,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,100,50,50,50,114202.3579962761,0,Simple
1,110,50,50,50,24978352.75182324,0,Simple
2,120,50,50,50,100646.21653557123,0,Simple
3,130,50,50,50,89885.36946342565,0,Simple
4,140,50,50,50,131326.1256427332,0,Simple
5,150,50,50,50,107606.77891564286,0,Simple
6,160,50,50,50,117405.62700817763,0,Simple
7,170,50,50,50,102124.79098759155,0,Simple
8,180,50,50,50,119997.14383414647,0,Simple
9,190,50,50,50,172863.73032166093,0,Simple
10,200,50,50,50,118099.71785713104,0,Simple
11,210,50,50,50,132619.01647972892,0,Simple
12,220,50,50,50,73799.5357774904,0,Simple
13,230,50,50,50,107240.39505041797,0,Simple
14,240,50,50,50,116399.71347825819,0,Simple
15,250,50,50,50,115697.98676433775,0,Simple
16,260,50,50,50,112357.6921032141,0,Simple
17,270,50,50,50,111948.14699653935,0,Simple
18,280,50,50,50,90197.43290800643,0,Simple
19,290,50,50,50,88694.89396961659,0,Simple
20,300,50,50,50,90768.50265571607,0,Simple
21,310,50,50,50,110499.71927169,0,Simple
22,320,50,50,50,90398.12013933748,0,Simple
23,330,50,50,50,140496.89464172805,0,Simple
24,340,50,50,50,118674.81773053242,0,Simple
25,350,50,50,50,101981.21701621966,0,Simple
26,360,50,50,50,107945.60225037487,0,Simple
27,370,50,50,50,116686.89863174688,0,Simple
28,380,50,50,50,109613.12224557147,0,Simple
29,390,50,50,50,95609.95972185324,0,Simple
30,400,50,50,50,96953.2727750189,0,Simple
31,410,50,50,50,129044.41825544357,0,Simple
32,420,50,50,50,118890.24806123332,0,Simple
33,430,50,50,50,131291.7088200066,0,Simple
34,440,50,50,50,94186.86224067358,0,Simple
35,450,50,50,50,99257.73573028677,0,Simple
36,460,50,50,50,119208.06321565155,0,Simple
37,470,50,50,50,122646.93693827713,0,Simple
38,480,50,50,50,118020.24888003078,0,Simple
39,490,50,50,50,91719.40818203977,0,Simple
40,500,50,50,50,107087.20168614754,0,Simple
41,510,50,50,50,105169.45410551764,0,Simple
42,520,50,50,50,121219.96854872083,0,Simple
43,530,50,50,50,91716.19062008776,0,Simple
44,540,50,50,50,94651.80076661079,0,Simple
45,550,50,50,50,94119.43790067203,0,Simple
46,560,50,50,50,97613.43364994787,0,Simple
47,570,50,50,50,102602.58568384702,0,Simple
48,580,50,50,50,108572.69374417067,0,Simple
49,590,50,50,50,90296.11450543182,0,Simple
50,600,50,50,50,124044.18558663876,0,Simple
51,610,50,50,50,105157.1962980538,0,Simple
52,620,50,50,50,89580.40418951759,0,Simple
53,630,50,50,50,102005.62323470478,0,Simple
54,640,50,50,50,79147.70910344148,0,Simple
55,650,50,50,50,72011.236499675,0,Simple
56,660,50,50,50,78130.14130447683,0,Simple
57,670,50,50,50,93368.9601079802,0,Simple
58,680,50,50,50,119296.41986901422,0,Simple
59,690,50,50,50,102037.11273527487,0,Simple
60,700,50,50,50,100748.99774384085,0,Simple
61,710,50,50,50,99372.93731683322,0,Simple
62,720,50,50,50,90693.38042035379,0,Simple
63,730,50,50,50,110998.68751105022,0,Simple
64,740,50,50,50,87499.64070424368,0,Simple
65,750,50,50,50,91848.53106738116,0,Simple
66,760,50,50,50,94510.67103812078,0,Simple
67,770,50,50,50,91477.3321066933,0,Simple
68,780,50,50,50,111867.67580377292,0,Simple
69,790,50,50,50,104931.45355886119,0,Simple
70,800,50,50,50,115499.70397079656,0,Simple
71,810,50,50,50,96227.99545381397,0,Simple
72,820,50,50,50,81489.36521318453,0,Simple
73,830,50,50,50,130779.20066449046,0,Simple
74,840,50,50,50,114889.97974028403,0,Simple
75,850,50,50,50,96287.32321291002,0,Simple
76,860,50,50,50,96963.96848336606,0,Simple
77,870,50,50,50,95576.32893781287,0,Simple
78,880,50,50,50,102769.38423562434,0,Simple
79,890,50,50,50,102976.35484505101,0,Simple
80,900,50,50,50,118537.79914504256,0,Simple
81,910,50,50,50,89589.08033865831,0,Simple
82,920,50,50,50,104708.88149049193,0,Simple
83,930,50,50,50,81278.5931490559,0,Simple
84,940,50,50,50,119625.88611686768,0,Simple
85,950,50,50,50,105402.84368973623,0,Simple
86,960,50,50,50,100331.70743860971,0,Simple
87,970,50,50,50,103176.17841616382,0,Simple
88,980,50,50,50,103390.74371246336,0,Simple
89,990,50,50,50,111443.06694615904,0,Simple
90,1000,50,50,50,107264.40419153821,0,Simple
