,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,100,2,2,25,0.008690758974302114,0,Simple
1,110,2,2,25,0.004708406769010901,0,Simple
2,120,2,2,25,0.0024606546772551995,0,Simple
3,130,2,2,25,0.0012997767340947304,0,Simple
4,140,2,2,25,0.0014311313852439,0,Simple
5,150,2,2,25,0.0022802922923384605,0,Simple
6,160,2,2,25,0.0005202658136648587,0,Simple
7,170,2,2,25,0.0008685151175538499,0,Simple
8,180,2,2,25,0.001038391658996768,0,Simple
9,190,2,2,25,0.002083840191238764,0,Simple
10,200,2,2,25,0.0005388546198876224,0,Simple
11,210,2,2,25,0.0006546718920112994,0,Simple
12,220,2,2,25,0.0004753104104580878,0,Simple
13,230,2,2,25,0.0006166524836052199,0,Simple
14,240,2,2,25,0.0006880684039960337,0,Simple
15,250,2,2,25,0.0020949327400241503,0,Simple
16,260,2,2,25,0.0006880062137906933,0,Simple
17,270,2,2,25,0.0005822672518568519,0,Simple
18,280,2,2,25,0.0007629437882508936,0,Simple
19,290,2,2,25,0.001572357042277609,0,Simple
20,300,2,2,25,0.0012930761774899483,0,Simple
21,310,2,2,25,0.0007726320795131335,0,Simple
22,320,2,2,25,0.000531076839865285,0,Simple
23,330,2,2,25,0.0009208656576064929,0,Simple
24,340,2,2,25,0.0018622402898307619,0,Simple
25,350,2,2,25,0.0013290336122792254,0,Simple
26,360,2,2,25,0.0012563250418578295,0,Simple
27,370,2,2,25,0.0009280190752468133,0,Simple
28,380,2,2,25,0.0015436091709977433,0,Simple
29,390,2,2,25,0.00035850875442537005,0,Simple
30,400,2,2,25,0.0011835968287387494,0,Simple
31,410,2,2,25,0.0008785685549181102,0,Simple
32,420,2,2,25,0.0018347009058690446,0,Simple
33,430,2,2,25,0.0007535371449701587,0,Simple
34,440,2,2,25,0.0010066269964181095,0,Simple
35,450,2,2,25,0.001822465771046482,0,Simple
36,460,2,2,25,0.0010535340377448744,0,Simple
37,470,2,2,25,0.0006867506994266933,0,Simple
38,480,2,2,25,0.002068490395376539,0,Simple
39,490,2,2,25,0.0009826350282647037,0,Simple
40,500,2,2,25,0.0011216430130683852,0,Simple
41,510,2,2,25,0.0007348787204331022,0,Simple
42,520,2,2,25,0.0011924503625344652,0,Simple
43,530,2,2,25,0.0015406951986113313,0,Simple
44,540,2,2,25,0.0015329580496166884,0,Simple
45,550,2,2,25,0.002135594707061532,0,Simple
46,560,2,2,25,0.001918274561090578,0,Simple
47,570,2,2,25,0.00372241797921542,0,Simple
48,580,2,2,25,0.0019965009094205987,0,Simple
49,590,2,2,25,0.0013824039810941171,0,Simple
50,600,2,2,25,0.0006781514287038517,0,Simple
51,610,2,2,25,0.0008129368296483099,0,Simple
52,620,2,2,25,0.0006470749117842437,0,Simple
53,630,2,2,25,0.00179014850577778,0,Simple
