,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,2,4,50,0.021149308715220017,0,Simple
1,0,10,2,4,50,0.014403684534343313,0,Simple
2,0,100,2,4,50,0.0068607944617138355,0,Simple
0,1,1,2,4,50,0.010353278214165438,0,Simple
1,1,10,2,4,50,0.01751874068738368,0,Simple
2,1,100,2,4,50,0.017741772159946885,0,Simple
0,2,1,2,4,50,0.010326179407853787,0,Simple
1,2,10,2,4,50,0.010093470747002915,0,Simple
2,2,100,2,4,50,0.00794428503931256,0,Simple
0,3,1,2,4,50,0.01634862125488063,0,Simple
1,3,10,2,4,50,0.01458311062167865,0,Simple
2,3,100,2,4,50,0.012623809753927795,0,Simple
0,4,1,2,4,50,0.029554801240542408,0,Simple
1,4,10,2,4,50,0.013883796081699143,0,Simple
2,4,100,2,4,50,0.01295637419124045,0,Simple
