,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,500,5,5,50,0.3968838291565559,0,Simple
1,500,10,10,50,6695.291476512858,0,Simple
2,500,50,50,50,9488.590424782813,0,Simple
3,500,100,100,50,35573.56316417938,0,Simple
4,500,500,500,50,1061541.3644384705,0,Simple
5,500,1000,1000,50,207365359.396675,0,Simple
0,500,5,5,50,13.760499312591762,0,Simple
1,500,10,10,50,72.73638850128235,0,Simple
2,500,50,50,50,79385.24736534157,0,Simple
3,500,100,100,50,22721.539908406863,0,Simple
4,500,500,500,50,1289507.4623979258,0,Simple
5,500,1000,1000,50,142154059810.16663,0,Simple
0,500,5,5,50,182347.76930893242,0,Simple
1,500,10,10,50,319.5863782693607,0,Simple
2,500,50,50,50,716.420307236637,0,Simple
3,500,100,100,50,28070.461428211,0,Simple
4,500,500,500,50,212821.86138204476,0,Simple
5,500,1000,1000,50,43013262.051237665,0,Simple
0,500,5,5,50,0.12117341142688914,0,Simple
1,500,10,10,50,4923.381861919155,0,Simple
2,500,50,50,50,10593489.6272119,0,Simple
3,500,100,100,50,132312.07904256918,0,Simple
4,500,500,500,50,195643.5892512351,0,Simple
5,500,1000,1000,50,34604810.759833016,0,Simple
0,500,5,5,50,50194.20113666507,0,Simple
1,500,10,10,50,72.90821035381151,0,Simple
2,500,50,50,50,18205.049758461864,0,Simple
3,500,100,100,50,15494.84672027869,0,Simple
4,500,500,500,50,113590298.60598737,0,Simple
5,500,1000,1000,50,26940200.50362271,0,Simple
0,500,5,5,50,471.28968311962603,0,Simple
1,500,10,10,50,714.6744759945209,0,Simple
2,500,50,50,50,94256.9094640601,0,Simple
3,500,100,100,50,3970.912716237986,0,Simple
4,500,500,500,50,133221.55220476692,0,Simple
5,500,1000,1000,50,105015764.39155644,0,Simple
0,500,5,5,50,0.37586842410932264,0,Simple
1,500,10,10,50,23817.695806696876,0,Simple
2,500,50,50,50,269259.3058959938,0,Simple
3,500,100,100,50,116249.5763796309,0,Simple
4,500,500,500,50,4850012.174736247,0,Simple
5,500,1000,1000,50,1670533485.84649,0,Simple
0,500,5,5,50,0.09885327225222139,0,Simple
1,500,10,10,50,278.6270700207882,0,Simple
2,500,50,50,50,33644.8720841478,0,Simple
3,500,100,100,50,47049.39110100123,0,Simple
4,500,500,500,50,3127455.3151679216,0,Simple
5,500,1000,1000,50,17069563.628083233,0,Simple
0,500,5,5,50,22519.921694114877,0,Simple
1,500,10,10,50,31.413381764640445,0,Simple
2,500,50,50,50,2796.1603415169443,0,Simple
3,500,100,100,50,4370.347183669828,0,Simple
4,500,500,500,50,2430545.0412654644,0,Simple
5,500,1000,1000,50,3008842.079728473,0,Simple
0,500,5,5,50,598.9732649995594,0,Simple
1,500,10,10,50,335.49595488968885,0,Simple
2,500,50,50,50,43718.0249082502,0,Simple
3,500,100,100,50,6470972.160396855,0,Simple
4,500,500,500,50,4644666.508720538,0,Simple
5,500,1000,1000,50,280154.9726510202,0,Simple
0,500,5,5,50,71.41207204814249,0,Simple
1,500,10,10,50,215.94299435429215,0,Simple
2,500,50,50,50,646.5368301092705,0,Simple
3,500,100,100,50,2154.7178989415074,0,Simple
4,500,500,500,50,1364778.7415004624,0,Simple
5,500,1000,1000,50,3018771.7616470074,0,Simple
0,500,5,5,50,0.14490932977260304,0,Simple
1,500,10,10,50,305.61038314367516,0,Simple
2,500,50,50,50,54230.331879724,0,Simple
3,500,100,100,50,10077.77240628552,0,Simple
4,500,500,500,50,2281809.1431965563,0,Simple
5,500,1000,1000,50,627374.6011476986,0,Simple
0,500,5,5,50,5047.92720479537,0,Simple
1,500,10,10,50,26725.529315809523,0,Simple
2,500,50,50,50,733452.0390186025,0,Simple
3,500,100,100,50,2266108.160865285,0,Simple
4,500,500,500,50,5258363.357869445,0,Simple
5,500,1000,1000,50,3059237.7963143326,0,Simple
0,500,5,5,50,213.62340750311705,0,Simple
1,500,10,10,50,55674.56406841539,0,Simple
2,500,50,50,50,4401.794864287171,0,Simple
3,500,100,100,50,299960636.89186966,0,Simple
4,500,500,500,50,193054.02114350282,0,Simple
5,500,1000,1000,50,144169.25519012878,0,Simple
0,500,5,5,50,8.02868724789497,0,Simple
1,500,10,10,50,538.7964758136952,0,Simple
2,500,50,50,50,2665.179209711339,0,Simple
3,500,100,100,50,1073732831.6033254,0,Simple
4,500,500,500,50,1130870.2409090109,0,Simple
5,500,1000,1000,50,225607.6027413385,0,Simple
0,500,5,5,50,2414.73152939112,0,Simple
1,500,10,10,50,7.476603655639647,0,Simple
2,500,50,50,50,342108.04511348734,0,Simple
3,500,100,100,50,55063.97742050293,0,Simple
4,500,500,500,50,10627043.932533225,0,Simple
5,500,1000,1000,50,1274552.1865566326,0,Simple
0,500,5,5,50,2251.9934011608148,0,Simple
1,500,10,10,50,297.3384399520318,0,Simple
2,500,50,50,50,888816.9241696281,0,Simple
3,500,100,100,50,857847405.884513,0,Simple
4,500,500,500,50,215781300.9309764,0,Simple
5,500,1000,1000,50,330805.6215654057,0,Simple
0,500,5,5,50,0.05998150943432839,0,Simple
1,500,10,10,50,67.04959773334006,0,Simple
2,500,50,50,50,967.439872422639,0,Simple
3,500,100,100,50,378981.67345555115,0,Simple
4,500,500,500,50,7496536.658508535,0,Simple
5,500,1000,1000,50,632386.8986551287,0,Simple
0,500,5,5,50,3074.5732021526683,0,Simple
1,500,10,10,50,186561.7246313639,0,Simple
2,500,50,50,50,8738.043660285683,0,Simple
3,500,100,100,50,16887.690076475108,0,Simple
4,500,500,500,50,4340746.125801208,0,Simple
5,500,1000,1000,50,323339.8603470427,0,Simple
0,500,5,5,50,0.2708616432353373,0,Simple
1,500,10,10,50,11.419426210259166,0,Simple
2,500,50,50,50,17903.119443931424,0,Simple
3,500,100,100,50,17995.433481520013,0,Simple
4,500,500,500,50,47530002.46885978,0,Simple
5,500,1000,1000,50,1356678.3418448966,0,Simple
0,500,5,5,50,23.09658277531965,0,Simple
1,500,10,10,50,90.1099363653212,0,Simple
2,500,50,50,50,388869.2741660339,0,Simple
3,500,100,100,50,21331.20902633015,0,Simple
4,500,500,500,50,37200.796534380635,0,Simple
5,500,1000,1000,50,6375069.188539534,0,Simple
0,500,5,5,50,0.10264030782963049,0,Simple
1,500,10,10,50,23.712041240921806,0,Simple
2,500,50,50,50,33212.19373479311,0,Simple
3,500,100,100,50,6873.023468694116,0,Simple
4,500,500,500,50,500423.82772171707,0,Simple
5,500,1000,1000,50,1847778.5184452804,0,Simple
0,500,5,5,50,2.194638872453968,0,Simple
1,500,10,10,50,82.91490993319665,0,Simple
2,500,50,50,50,3090.1540520307794,0,Simple
3,500,100,100,50,202102454.4010354,0,Simple
4,500,500,500,50,579863.613241153,0,Simple
5,500,1000,1000,50,1573424.6982906368,0,Simple
0,500,5,5,50,494.1457592685132,0,Simple
1,500,10,10,50,3453.413186768651,0,Simple
2,500,50,50,50,335108.441987759,0,Simple
3,500,100,100,50,20133.892707149273,0,Simple
4,500,500,500,50,62057302.343931034,0,Simple
5,500,1000,1000,50,234855.9003088852,0,Simple
0,500,5,5,50,0.08383883079049538,0,Simple
1,500,10,10,50,1205.7278701617533,0,Simple
2,500,50,50,50,181739.5206179842,0,Simple
3,500,100,100,50,64220.71027958309,0,Simple
4,500,500,500,50,706163.0160462953,0,Simple
5,500,1000,1000,50,3180434.079713782,0,Simple
0,500,5,5,50,0.07682949336495297,0,Simple
1,500,10,10,50,906.919115549929,0,Simple
2,500,50,50,50,474769.61582947226,0,Simple
3,500,100,100,50,35539.9175687059,0,Simple
4,500,500,500,50,2413940.6844853032,0,Simple
5,500,1000,1000,50,696344.9865581355,0,Simple
0,500,5,5,50,0.56481485366056,0,Simple
1,500,10,10,50,1.495249752133454,0,Simple
2,500,50,50,50,3526.720734870175,0,Simple
3,500,100,100,50,109940.89630486206,0,Simple
4,500,500,500,50,821532.0016918206,0,Simple
5,500,1000,1000,50,1112538.073137083,0,Simple
0,500,5,5,50,1547.6894233134913,0,Simple
1,500,10,10,50,1.6591323748184406,0,Simple
2,500,50,50,50,862017.2734456048,0,Simple
3,500,100,100,50,84450.90381779402,0,Simple
4,500,500,500,50,4022316.4564551115,0,Simple
5,500,1000,1000,50,5116704.261975812,0,Simple
0,500,5,5,50,0.13282774875026643,0,Simple
1,500,10,10,50,1.7392261569175351,0,Simple
2,500,50,50,50,45633.22082708694,0,Simple
3,500,100,100,50,271610950.4191433,0,Simple
4,500,500,500,50,190659.3955737793,0,Simple
5,500,1000,1000,50,1057292542.2747304,0,Simple
0,500,5,5,50,180808.02371776485,0,Simple
1,500,10,10,50,146.6276502651123,0,Simple
2,500,50,50,50,1646.7166712929497,0,Simple
3,500,100,100,50,422069.4406330911,0,Simple
4,500,500,500,50,45805.518715072016,0,Simple
5,500,1000,1000,50,135419.07895362447,0,Simple
0,500,5,5,50,0.0710079393315918,0,Simple
1,500,10,10,50,1482668.9640984533,0,Simple
